size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
220595,1.311,0,4,2,2,0,0
142680,0.598,1,0,0,1,2,0
142680,0.648,10,1,0,1,1,0
90812,1.292,11,2,1,2,1,1
79862,1.312,12,1,0,2,0,2
114233,0.25,13,1,2,0,1,1
89747,1.418,14,3,1,2,2,2
118777,1.465,15,0,3,2,3,2
113240,0.597,16,4,2,1,1,2
142680,0.58,17,1,0,1,3,0
121536,1.3,18,2,3,2,1,1
115141,0.589,19,1,2,1,3,1
113240,1.482,2,1,2,2,2,2
79862,1.398,20,2,0,2,3,2
113240,1.389,21,1,2,2,3,2
201935,0.221,22,3,2,0,1,0
71142,0.238,23,3,1,0,3,1
69830,0.305,24,0,1,0,0,2
90812,1.492,25,3,1,2,3,1
80788,0.649,26,4,0,1,3,1
181070,1.352,27,2,1,2,2,0
89747,0.601,28,1,1,1,1,2
71142,0.237,29,2,1,0,0,1
121536,0.594,3,3,3,1,0,1
71142,0.235,30,1,1,0,2,1
121536,0.599,31,4,3,1,3,1
225409,0.204,32,4,3,0,1,0
118777,0.626,33,4,3,1,2,2
79862,1.419,34,4,0,2,2,2
220595,0.566,35,1,2,1,0,0
232422,0.559,36,1,3,1,0,0
113240,1.396,37,0,2,2,0,2
181070,0.539,38,4,1,1,1,0
124148,0.284,39,0,3,0,0,2
201935,0.252,4,2,2,0,1,0
121536,1.356,40,0,3,2,0,1
118777,0.668,41,1,3,1,0,2
90812,0.586,42,3,1,1,2,1
114233,0.288,43,1,2,0,2,1
220595,0.606,44,2,2,1,2,0
118777,1.463,45,1,3,2,1,2
79862,1.451,46,0,0,2,2,2
69830,0.265,47,2,1,0,2,2
121536,0.561,48,3,3,1,2,1
115141,1.394,49,4,2,2,3,1
114233,0.286,5,0,2,0,3,1
181070,1.37,50,0,1,2,0,0
115141,0.579,51,3,2,1,1,1
71142,0.236,52,0,1,0,0,1
90812,1.378,53,3,1,2,2,1
80788,1.332,54,0,0,2,2,1
79862,1.324,55,3,0,2,0,2
220595,0.545,56,1,2,1,2,0
79862,1.384,57,0,0,2,3,2
69830,0.266,58,1,1,0,2,2
232422,1.298,59,3,3,2,0,0
220595,0.59,6,3,2,1,3,0
181070,1.319,60,3,1,2,2,0
80788,0.573,61,3,0,1,1,1
121536,1.374,62,2,3,2,2,1
220595,1.343,63,0,2,2,0,0
69830,0.241,64,4,1,0,0,2
115141,1.358,65,3,2,2,0,1
71142,0.249,66,3,1,0,0,1
220595,1.415,67,2,2,2,2,0
113240,1.386,68,4,2,2,3,2
113240,0.634,69,2,2,1,2,2
115141,1.332,7,2,2,2,0,1
90812,0.59,70,1,1,1,1,1
90812,0.559,71,0,1,1,2,1
47248,0.239,72,4,0,0,2,1
79862,0.588,73,2,0,1,3,2
126667,0.225,74,1,3,0,0,1
82672,0.216,75,2,0,0,1,0
126667,0.249,76,3,3,0,0,1
114233,0.255,77,0,2,0,1,1
121536,0.617,78,2,3,1,2,1
132650,0.237,79,3,1,0,0,0
142680,0.578,8,4,0,1,1,0
132650,0.238,80,0,1,0,0,0
79862,0.619,81,0,0,1,0,2
82672,0.268,82,1,0,0,2,0
121536,1.397,83,2,3,2,0,1
115141,1.407,84,3,2,2,2,1
80788,1.383,85,0,0,2,0,1
142680,0.549,86,3,0,1,2,0
220595,1.32,87,2,2,2,1,0
113240,0.646,88,3,2,1,2,2
118777,0.659,89,4,3,1,0,2
113240,1.412,9,0,2,2,2,2
113240,0.639,90,4,2,1,2,2
47248,0.247,91,2,0,0,1,1
181070,0.556,92,4,1,1,0,0
69830,0.262,93,4,1,0,1,2
124148,0.32,94,1,3,0,3,2
79862,0.622,95,3,0,1,1,2
46061,0.296,96,3,0,0,3,2
118777,1.528,97,0,3,2,1,2
121536,1.346,98,0,3,2,1,1
115141,0.588,99,2,2,1,3,1
