size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
492476,2.553,0,4,2,2,0,0
339051,1.008,1,0,0,1,2,0
339051,1.002,10,1,0,1,1,0
321160,2.645,11,2,1,2,1,1
257124,2.758,12,1,0,2,0,2
359426,0.33,13,1,2,0,1,1
318194,2.757,14,3,1,2,2,2
335591,2.624,15,0,3,2,3,2
333849,0.988,16,4,2,1,1,2
339051,1.036,17,1,0,1,3,0
337080,2.602,18,2,3,2,1,1
335129,0.99,19,1,2,1,3,1
333849,2.636,2,1,2,2,2,2
257124,2.702,20,2,0,2,3,2
333849,2.636,21,1,2,2,3,2
476433,0.313,22,3,2,0,1,0
303717,0.433,23,3,1,0,3,1
300053,0.486,24,0,1,0,0,2
321160,2.72,25,3,1,2,3,1
259380,1.035,26,4,0,1,3,1
459719,2.65,27,2,1,2,2,0
318194,1.097,28,1,1,1,1,2
303717,0.392,29,2,1,0,0,1
337080,1.018,3,3,3,1,0,1
303717,0.446,30,1,1,0,2,1
337080,1.045,31,4,3,1,3,1
498547,0.32,32,4,3,0,1,0
335591,1.116,33,4,3,1,2,2
257124,2.779,34,4,0,2,2,2
492476,0.902,35,1,2,1,0,0
497600,0.899,36,1,3,1,0,0
333849,2.694,37,0,2,2,0,2
459719,1.002,38,4,1,1,1,0
368698,0.35,39,0,3,0,0,2
476433,0.301,4,2,2,0,1,0
337080,2.703,40,0,3,2,0,1
335591,1.043,41,1,3,1,0,2
321160,1.041,42,3,1,1,2,1
359426,0.339,43,1,2,0,2,1
492476,1.085,44,2,2,1,2,0
335591,2.795,45,1,3,2,1,2
257124,2.773,46,0,0,2,2,2
300053,0.488,47,2,1,0,2,2
337080,1.027,48,3,3,1,2,1
335129,2.668,49,4,2,2,3,1
359426,0.354,5,0,2,0,3,1
459719,2.726,50,0,1,2,0,0
335129,0.98,51,3,2,1,1,1
303717,0.401,52,0,1,0,0,1
321160,2.745,53,3,1,2,2,1
259380,2.642,54,0,0,2,2,1
257124,2.664,55,3,0,2,0,2
492476,0.93,56,1,2,1,2,0
257124,2.69,57,0,0,2,3,2
300053,0.515,58,1,1,0,2,2
497600,2.623,59,3,3,2,0,0
492476,0.957,6,3,2,1,3,0
459719,2.64,60,3,1,2,2,0
259380,1.042,61,3,0,1,1,1
337080,2.65,62,2,3,2,2,1
492476,2.553,63,0,2,2,0,0
300053,0.499,64,4,1,0,0,2
335129,2.624,65,3,2,2,0,1
303717,0.436,66,3,1,0,0,1
492476,2.597,67,2,2,2,2,0
333849,2.671,68,4,2,2,3,2
333849,1.053,69,2,2,1,2,2
335129,2.609,7,2,2,2,0,1
321160,1.038,70,1,1,1,1,1
321160,1.098,71,0,1,1,2,1
171992,0.382,72,4,0,0,2,1
257124,1.089,73,2,0,1,3,2
369699,0.323,74,1,3,0,0,1
182982,0.39,75,2,0,0,1,0
369699,0.358,76,3,3,0,0,1
359426,0.324,77,0,2,0,1,1
337080,1.097,78,2,3,1,2,1
361151,0.377,79,3,1,0,0,0
339051,1.031,8,4,0,1,1,0
361151,0.385,80,0,1,0,0,0
257124,1.127,81,0,0,1,0,2
182982,0.383,82,1,0,0,2,0
337080,2.694,83,2,3,2,0,1
335129,2.607,84,3,2,2,2,1
259380,2.616,85,0,0,2,0,1
339051,1.002,86,3,0,1,2,0
492476,2.542,87,2,2,2,1,0
333849,1.053,88,3,2,1,2,2
335591,1.096,89,4,3,1,0,2
333849,2.671,9,0,2,2,2,2
333849,1.103,90,4,2,1,2,2
171992,0.385,91,2,0,0,1,1
459719,1.02,92,4,1,1,0,0
300053,0.493,93,4,1,0,1,2
368698,0.378,94,1,3,0,3,2
257124,1.138,95,3,0,1,1,2
168089,0.525,96,3,0,0,3,2
335591,2.717,97,0,3,2,1,2
337080,2.592,98,0,3,2,1,1
335129,1.001,99,2,2,1,3,1
