size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
414672,3.636,0,4,2,2,0,0
239502,1.405,1,0,0,1,2,0
239502,1.363,10,1,0,1,1,0
198029,3.687,11,2,1,2,1,1
131726,3.616,12,1,0,2,0,2
214291,0.493,13,1,2,0,1,1
193927,3.767,14,3,1,2,2,2
226605,4.051,15,0,3,2,3,2
207334,1.623,16,4,2,1,1,2
239502,1.394,17,1,0,1,3,0
236783,3.69,18,2,3,2,1,1
214158,1.484,19,1,2,1,3,1
207334,3.881,2,1,2,2,2,2
131726,3.652,20,2,0,2,3,2
207334,3.945,21,1,2,2,3,2
374751,0.432,22,3,2,0,1,0
154643,0.467,23,3,1,0,3,1
149801,0.612,24,0,1,0,0,2
198029,3.801,25,3,1,2,3,1
133011,1.391,26,4,0,1,3,1
339480,3.683,27,2,1,2,2,0
193927,1.506,28,1,1,1,1,2
154643,0.454,29,2,1,0,0,1
236783,1.486,3,3,3,1,0,1
154643,0.487,30,1,1,0,2,1
236783,1.476,31,4,3,1,3,1
475033,0.385,32,4,3,0,1,0
226605,1.868,33,4,3,1,2,2
131726,3.805,34,4,0,2,2,2
414672,1.401,35,1,2,1,0,0
483586,1.334,36,1,3,1,0,0
207334,3.874,37,0,2,2,0,2
339480,1.375,38,4,1,1,1,0
249524,0.735,39,0,3,0,0,2
374751,0.507,4,2,2,0,1,0
236783,3.81,40,0,3,2,0,1
226605,1.795,41,1,3,1,0,2
198029,1.436,42,3,1,1,2,1
214291,0.5,43,1,2,0,2,1
414672,1.461,44,2,2,1,2,0
226605,4.085,45,1,3,2,1,2
131726,3.657,46,0,0,2,2,2
149801,0.598,47,2,1,0,2,2
236783,1.341,48,3,3,1,2,1
214158,3.727,49,4,2,2,3,1
214291,0.496,5,0,2,0,3,1
339480,3.735,50,0,1,2,0,0
214158,1.401,51,3,2,1,1,1
154643,0.454,52,0,1,0,0,1
198029,3.704,53,3,1,2,2,1
133011,3.614,54,0,0,2,2,1
131726,3.637,55,3,0,2,0,2
414672,1.449,56,1,2,1,2,0
131726,3.698,57,0,0,2,3,2
149801,0.614,58,1,1,0,2,2
483586,3.579,59,3,3,2,0,0
414672,1.373,6,3,2,1,3,0
339480,3.605,60,3,1,2,2,0
133011,1.355,61,3,0,1,1,1
236783,3.623,62,2,3,2,2,1
414672,3.65,63,0,2,2,0,0
149801,0.59,64,4,1,0,0,2
214158,3.66,65,3,2,2,0,1
154643,0.457,66,3,1,0,0,1
414672,3.743,67,2,2,2,2,0
207334,3.916,68,4,2,2,3,2
207334,1.67,69,2,2,1,2,2
214158,3.756,7,2,2,2,0,1
198029,1.407,70,1,1,1,1,1
198029,1.445,71,0,1,1,2,1
80355,0.415,72,4,0,0,2,1
131726,1.518,73,2,0,1,3,2
257591,0.439,74,1,3,0,0,1
149567,0.382,75,2,0,0,1,0
257591,0.434,76,3,3,0,0,1
214291,0.515,77,0,2,0,1,1
236783,1.515,78,2,3,1,2,1
247832,0.449,79,3,1,0,0,0
239502,1.463,8,4,0,1,1,0
247832,0.434,80,0,1,0,0,0
131726,1.531,81,0,0,1,0,2
149567,0.475,82,1,0,0,2,0
236783,3.648,83,2,3,2,0,1
214158,3.709,84,3,2,2,2,1
133011,3.613,85,0,0,2,0,1
239502,1.389,86,3,0,1,2,0
414672,3.653,87,2,2,2,1,0
207334,1.65,88,3,2,1,2,2
226605,1.782,89,4,3,1,0,2
207334,3.983,9,0,2,2,2,2
207334,1.611,90,4,2,1,2,2
80355,0.391,91,2,0,0,1,1
339480,1.393,92,4,1,1,0,0
149801,0.612,93,4,1,0,1,2
249524,0.815,94,1,3,0,3,2
131726,1.443,95,3,0,1,1,2
78890,0.481,96,3,0,0,3,2
226605,4.199,97,0,3,2,1,2
236783,3.638,98,0,3,2,1,1
214158,1.466,99,2,2,1,3,1
