size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
439476,2.556,0,4,2,2,0,0
233176,0.953,1,0,0,1,2,0
233176,1.002,10,1,0,1,1,0
175376,2.579,11,2,1,2,1,1
131866,2.578,12,1,0,2,0,2
203553,0.329,13,1,2,0,1,1
171016,2.662,14,3,1,2,2,2
206814,2.683,15,0,3,2,3,2
200558,1.139,16,4,2,1,1,2
233176,0.982,17,1,0,1,3,0
212654,2.594,18,2,3,2,1,1
205228,0.973,19,1,2,1,3,1
200558,2.661,2,1,2,2,2,2
131866,2.614,20,2,0,2,3,2
200558,2.687,21,1,2,2,3,2
405609,0.308,22,3,2,0,1,0
133291,0.394,23,3,1,0,3,1
128843,0.57,24,0,1,0,0,2
175376,2.695,25,3,1,2,3,1
134598,0.998,26,4,0,1,3,1
332556,2.508,27,2,1,2,2,0
171016,1.071,28,1,1,1,1,2
133291,0.357,29,2,1,0,0,1
212654,0.956,3,3,3,1,0,1
133291,0.379,30,1,1,0,2,1
212654,1.025,31,4,3,1,3,1
469826,0.304,32,4,3,0,1,0
206814,1.234,33,4,3,1,2,2
131866,2.703,34,4,0,2,2,2
439476,0.936,35,1,2,1,0,0
477420,0.925,36,1,3,1,0,0
200558,2.628,37,0,2,2,0,2
332556,0.941,38,4,1,1,1,0
220948,0.455,39,0,3,0,0,2
405609,0.356,4,2,2,0,1,0
212654,2.57,40,0,3,2,0,1
206814,1.1,41,1,3,1,0,2
175376,1.068,42,3,1,1,2,1
203553,0.331,43,1,2,0,2,1
439476,1.095,44,2,2,1,2,0
206814,2.782,45,1,3,2,1,2
131866,2.588,46,0,0,2,2,2
128843,0.49,47,2,1,0,2,2
212654,0.958,48,3,3,1,2,1
205228,2.545,49,4,2,2,3,1
203553,0.356,5,0,2,0,3,1
332556,2.521,50,0,1,2,0,0
205228,0.952,51,3,2,1,1,1
133291,0.378,52,0,1,0,0,1
175376,2.601,53,3,1,2,2,1
134598,2.518,54,0,0,2,2,1
131866,2.577,55,3,0,2,0,2
439476,0.937,56,1,2,1,2,0
131866,2.623,57,0,0,2,3,2
128843,0.525,58,1,1,0,2,2
477420,2.478,59,3,3,2,0,0
439476,0.916,6,3,2,1,3,0
332556,2.522,60,3,1,2,2,0
134598,0.947,61,3,0,1,1,1
212654,2.532,62,2,3,2,2,1
439476,2.427,63,0,2,2,0,0
128843,0.526,64,4,1,0,0,2
205228,2.56,65,3,2,2,0,1
133291,0.388,66,3,1,0,0,1
439476,2.507,67,2,2,2,2,0
200558,2.647,68,4,2,2,3,2
200558,1.125,69,2,2,1,2,2
205228,2.498,7,2,2,2,0,1
175376,0.988,70,1,1,1,1,1
175376,0.994,71,0,1,1,2,1
76614,0.345,72,4,0,0,2,1
131866,1.116,73,2,0,1,3,2
225258,0.334,74,1,3,0,0,1
138977,0.32,75,2,0,0,1,0
225258,0.387,76,3,3,0,0,1
203553,0.392,77,0,2,0,1,1
212654,1.078,78,2,3,1,2,1
242705,0.405,79,3,1,0,0,0
233176,1.013,8,4,0,1,1,0
242705,0.338,80,0,1,0,0,0
131866,1.105,81,0,0,1,0,2
138977,0.359,82,1,0,0,2,0
212654,2.549,83,2,3,2,0,1
205228,2.505,84,3,2,2,2,1
134598,2.521,85,0,0,2,0,1
233176,0.94,86,3,0,1,2,0
439476,2.483,87,2,2,2,1,0
200558,1.142,88,3,2,1,2,2
206814,1.119,89,4,3,1,0,2
200558,2.707,9,0,2,2,2,2
200558,1.13,90,4,2,1,2,2
76614,0.353,91,2,0,0,1,1
332556,0.943,92,4,1,1,0,0
128843,0.514,93,4,1,0,1,2
220948,0.506,94,1,3,0,3,2
131866,1.07,95,3,0,1,1,2
73626,0.464,96,3,0,0,3,2
206814,2.729,97,0,3,2,1,2
212654,2.553,98,0,3,2,1,1
205228,0.964,99,2,2,1,3,1
