size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
150848,2.34,0,4,2,2,0,0
97508,0.929,1,0,0,1,2,0
97508,0.884,10,1,0,1,1,0
29096,2.364,11,2,1,2,1,1
30002,2.365,12,1,0,2,0,2
40520,0.328,13,1,2,0,1,1
28375,2.392,14,3,1,2,2,2
54835,2.56,15,0,3,2,3,2
41275,0.966,16,4,2,1,1,2
97508,0.894,17,1,0,1,3,0
61907,2.367,18,2,3,2,1,1
43413,0.914,19,1,2,1,3,1
41275,2.44,2,1,2,2,2,2
30002,2.38,20,2,0,2,3,2
41275,2.432,21,1,2,2,3,2
141418,0.326,22,3,2,0,1,0
20678,0.353,23,3,1,0,3,1
20077,0.347,24,0,1,0,0,2
29096,2.475,25,3,1,2,3,1
30536,0.925,26,4,0,1,3,1
99118,2.343,27,2,1,2,2,0
28375,0.929,28,1,1,1,1,2
20678,0.301,29,2,1,0,0,1
61907,0.861,3,3,3,1,0,1
20678,0.332,30,1,1,0,2,1
61907,0.969,31,4,3,1,3,1
215734,0.318,32,4,3,0,1,0
54835,1.224,33,4,3,1,2,2
30002,2.466,34,4,0,2,2,2
150848,0.884,35,1,2,1,0,0
222778,0.902,36,1,3,1,0,0
41275,2.416,37,0,2,2,0,2
99118,0.878,38,4,1,1,1,0
56726,0.461,39,0,3,0,0,2
141418,0.312,4,2,2,0,1,0
61907,2.551,40,0,3,2,0,1
54835,1.094,41,1,3,1,0,2
29096,0.948,42,3,1,1,2,1
40520,0.349,43,1,2,0,2,1
150848,0.958,44,2,2,1,2,0
54835,2.595,45,1,3,2,1,2
30002,2.406,46,0,0,2,2,2
20077,0.359,47,2,1,0,2,2
61907,0.945,48,3,3,1,2,1
43413,2.467,49,4,2,2,3,1
40520,0.326,5,0,2,0,3,1
99118,2.39,50,0,1,2,0,0
43413,0.884,51,3,2,1,1,1
20678,0.327,52,0,1,0,0,1
29096,2.439,53,3,1,2,2,1
30536,2.359,54,0,0,2,2,1
30002,2.375,55,3,0,2,0,2
150848,0.932,56,1,2,1,2,0
30002,2.395,57,0,0,2,3,2
20077,0.35,58,1,1,0,2,2
222778,2.352,59,3,3,2,0,0
150848,0.895,6,3,2,1,3,0
99118,2.396,60,3,1,2,2,0
30536,0.905,61,3,0,1,1,1
61907,2.322,62,2,3,2,2,1
150848,2.452,63,0,2,2,0,0
20077,0.344,64,4,1,0,0,2
43413,2.43,65,3,2,2,0,1
20678,0.309,66,3,1,0,0,1
150848,2.369,67,2,2,2,2,0
41275,2.426,68,4,2,2,3,2
41275,1.021,69,2,2,1,2,2
43413,2.348,7,2,2,2,0,1
29096,0.926,70,1,1,1,1,1
29096,0.934,71,0,1,1,2,1
17388,0.365,72,4,0,0,2,1
30002,0.963,73,2,0,1,3,2
63183,0.322,74,1,3,0,0,1
81772,0.323,75,2,0,0,1,0
63183,0.344,76,3,3,0,0,1
40520,0.33,77,0,2,0,1,1
61907,0.99,78,2,3,1,2,1
87075,0.332,79,3,1,0,0,0
97508,0.988,8,4,0,1,1,0
87075,0.307,80,0,1,0,0,0
30002,0.98,81,0,0,1,0,2
81772,0.322,82,1,0,0,2,0
61907,2.529,83,2,3,2,0,1
43413,2.377,84,3,2,2,2,1
30536,2.407,85,0,0,2,0,1
97508,0.895,86,3,0,1,2,0
150848,2.357,87,2,2,2,1,0
41275,0.986,88,3,2,1,2,2
54835,1.112,89,4,3,1,0,2
41275,2.528,9,0,2,2,2,2
41275,0.969,90,4,2,1,2,2
17388,0.321,91,2,0,0,1,1
99118,1.003,92,4,1,1,0,0
20077,0.368,93,4,1,0,1,2
56726,0.541,94,1,3,0,3,2
30002,0.949,95,3,0,1,1,2
16915,0.356,96,3,0,0,3,2
54835,2.713,97,0,3,2,1,2
61907,2.318,98,0,3,2,1,1
43413,0.962,99,2,2,1,3,1
