size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
1789412,13.437,0,4,2,2,0,0
923919,4.509,1,0,0,1,2,0
923919,4.507,10,1,0,1,1,0
1076514,13.843,11,2,1,2,1,1
689489,13.843,12,1,0,2,0,2
1144833,1.144,13,1,2,0,1,1
1069371,14.148,14,3,1,2,2,2
1062088,13.815,15,0,3,2,3,2
1071767,4.696,16,4,2,1,1,2
923919,4.649,17,1,0,1,3,0
1071635,13.661,18,2,3,2,1,1
1076664,4.655,19,1,2,1,3,1
1071767,13.725,2,1,2,2,2,2
689489,13.87,20,2,0,2,3,2
1071767,13.855,21,1,2,2,3,2
1691845,0.984,22,3,2,0,1,0
884129,1.348,23,3,1,0,3,1
868697,1.984,24,0,1,0,0,2
1076514,14.047,25,3,1,2,3,1
696763,4.569,26,4,0,1,3,1
1590746,13.73,27,2,1,2,2,0
1069371,4.904,28,1,1,1,1,2
884129,1.273,29,2,1,0,0,1
1071635,4.652,3,3,3,1,0,1
884129,1.307,30,1,1,0,2,1
1071635,4.752,31,4,3,1,3,1
1820070,0.905,32,4,3,0,1,0
1062088,4.821,33,4,3,1,2,2
689489,13.901,34,4,0,2,2,2
1789412,4.429,35,1,2,1,0,0
1817578,4.355,36,1,3,1,0,0
1071767,13.721,37,0,2,2,0,2
1590746,4.619,38,4,1,1,1,0
1166810,1.164,39,0,3,0,0,2
1691845,1.018,4,2,2,0,1,0
1071635,13.856,40,0,3,2,0,1
1062088,4.683,41,1,3,1,0,2
1076514,4.816,42,3,1,1,2,1
1144833,1.161,43,1,2,0,2,1
1789412,4.561,44,2,2,1,2,0
1062088,13.826,45,1,3,2,1,2
689489,13.822,46,0,0,2,2,2
868697,1.938,47,2,1,0,2,2
1071635,4.708,48,3,3,1,2,1
1076664,13.791,49,4,2,2,3,1
1144833,1.197,5,0,2,0,3,1
1590746,13.789,50,0,1,2,0,0
1076664,4.555,51,3,2,1,1,1
884129,1.232,52,0,1,0,0,1
1076514,13.935,53,3,1,2,2,1
696763,13.584,54,0,0,2,2,1
689489,13.85,55,3,0,2,0,2
1789412,4.424,56,1,2,1,2,0
689489,13.86,57,0,0,2,3,2
868697,1.996,58,1,1,0,2,2
1817578,13.612,59,3,3,2,0,0
1789412,4.432,6,3,2,1,3,0
1590746,13.754,60,3,1,2,2,0
696763,4.561,61,3,0,1,1,1
1071635,13.72,62,2,3,2,2,1
1789412,13.519,63,0,2,2,0,0
868697,1.915,64,4,1,0,0,2
1076664,13.745,65,3,2,2,0,1
884129,1.289,66,3,1,0,0,1
1789412,13.557,67,2,2,2,2,0
1071767,13.849,68,4,2,2,3,2
1071767,4.724,69,2,2,1,2,2
1076664,13.677,7,2,2,2,0,1
1076514,4.75,70,1,1,1,1,1
1076514,4.883,71,0,1,1,2,1
419546,1.049,72,4,0,0,2,1
689489,4.975,73,2,0,1,3,2
1170953,1.147,74,1,3,0,0,1
525654,1.019,75,2,0,0,1,0
1170953,1.163,76,3,3,0,0,1
1144833,1.204,77,0,2,0,1,1
1071635,4.727,78,2,3,1,2,1
1117705,1.136,79,3,1,0,0,0
923919,4.694,8,4,0,1,1,0
1117705,1.097,80,0,1,0,0,0
689489,4.945,81,0,0,1,0,2
525654,1.035,82,1,0,0,2,0
1071635,13.768,83,2,3,2,0,1
1076664,13.746,84,3,2,2,2,1
696763,13.591,85,0,0,2,0,1
923919,4.523,86,3,0,1,2,0
1789412,13.486,87,2,2,2,1,0
1071767,4.75,88,3,2,1,2,2
1062088,4.655,89,4,3,1,0,2
1071767,13.994,9,0,2,2,2,2
1071767,4.721,90,4,2,1,2,2
419546,1.08,91,2,0,0,1,1
1590746,4.786,92,4,1,1,0,0
868697,1.905,93,4,1,0,1,2
1166810,1.324,94,1,3,0,3,2
689489,4.951,95,3,0,1,1,2
408518,1.623,96,3,0,0,3,2
1062088,13.979,97,0,3,2,1,2
1071635,13.661,98,0,3,2,1,1
1076664,4.618,99,2,2,1,3,1
