size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
436709,2.303,0,4,2,2,0,0
286017,0.882,1,0,0,1,2,0
286017,0.881,10,1,0,1,1,0
261713,2.336,11,2,1,2,1,1
203732,2.342,12,1,0,2,0,2
272047,0.398,13,1,2,0,1,1
260085,2.449,14,3,1,2,2,2
251462,2.314,15,0,3,2,3,2
253167,0.96,16,4,2,1,1,2
286017,0.912,17,1,0,1,3,0
254188,2.311,18,2,3,2,1,1
254842,0.97,19,1,2,1,3,1
253167,2.43,2,1,2,2,2,2
203732,2.336,20,2,0,2,3,2
253167,2.368,21,1,2,2,3,2
414750,0.345,22,3,2,0,1,0
234288,0.403,23,3,1,0,3,1
231205,0.487,24,0,1,0,0,2
261713,2.414,25,3,1,2,3,1
205665,0.914,26,4,0,1,3,1
412684,2.291,27,2,1,2,2,0
260085,0.965,28,1,1,1,1,2
234288,0.337,29,2,1,0,0,1
254188,0.931,3,3,3,1,0,1
234288,0.426,30,1,1,0,2,1
254188,0.97,31,4,3,1,3,1
446171,0.288,32,4,3,0,1,0
251462,1.079,33,4,3,1,2,2
203732,2.439,34,4,0,2,2,2
436709,0.884,35,1,2,1,0,0
447016,0.833,36,1,3,1,0,0
253167,2.337,37,0,2,2,0,2
412684,0.904,38,4,1,1,1,0
274677,0.363,39,0,3,0,0,2
414750,0.367,4,2,2,0,1,0
254188,2.355,40,0,3,2,0,1
251462,0.92,41,1,3,1,0,2
261713,0.935,42,3,1,1,2,1
272047,0.406,43,1,2,0,2,1
436709,0.893,44,2,2,1,2,0
251462,2.349,45,1,3,2,1,2
203732,2.353,46,0,0,2,2,2
231205,0.501,47,2,1,0,2,2
254188,0.909,48,3,3,1,2,1
254842,2.393,49,4,2,2,3,1
272047,0.396,5,0,2,0,3,1
412684,2.335,50,0,1,2,0,0
254842,0.946,51,3,2,1,1,1
234288,0.345,52,0,1,0,0,1
261713,2.406,53,3,1,2,2,1
205665,2.3,54,0,0,2,2,1
203732,2.34,55,3,0,2,0,2
436709,0.898,56,1,2,1,2,0
203732,2.371,57,0,0,2,3,2
231205,0.511,58,1,1,0,2,2
447016,2.268,59,3,3,2,0,0
436709,0.885,6,3,2,1,3,0
412684,2.316,60,3,1,2,2,0
205665,0.903,61,3,0,1,1,1
254188,2.316,62,2,3,2,2,1
436709,2.324,63,0,2,2,0,0
231205,0.508,64,4,1,0,0,2
254842,2.326,65,3,2,2,0,1
234288,0.377,66,3,1,0,0,1
436709,2.308,67,2,2,2,2,0
253167,2.398,68,4,2,2,3,2
253167,1.072,69,2,2,1,2,2
254842,2.344,7,2,2,2,0,1
261713,0.924,70,1,1,1,1,1
261713,0.947,71,0,1,1,2,1
140502,0.339,72,4,0,0,2,1
203732,0.994,73,2,0,1,3,2
276350,0.339,74,1,3,0,0,1
165803,0.354,75,2,0,0,1,0
276350,0.385,76,3,3,0,0,1
272047,0.415,77,0,2,0,1,1
254188,0.991,78,2,3,1,2,1
302422,0.368,79,3,1,0,0,0
286017,0.912,8,4,0,1,1,0
302422,0.314,80,0,1,0,0,0
203732,0.934,81,0,0,1,0,2
165803,0.357,82,1,0,0,2,0
254188,2.335,83,2,3,2,0,1
254842,2.351,84,3,2,2,2,1
205665,2.286,85,0,0,2,0,1
286017,0.95,86,3,0,1,2,0
436709,2.327,87,2,2,2,1,0
253167,0.943,88,3,2,1,2,2
251462,0.907,89,4,3,1,0,2
253167,2.494,9,0,2,2,2,2
253167,0.989,90,4,2,1,2,2
140502,0.346,91,2,0,0,1,1
412684,0.905,92,4,1,1,0,0
231205,0.501,93,4,1,0,1,2
274677,0.401,94,1,3,0,3,2
203732,0.985,95,3,0,1,1,2
137978,0.468,96,3,0,0,3,2
251462,2.396,97,0,3,2,1,2
254188,2.284,98,0,3,2,1,1
254842,0.928,99,2,2,1,3,1
