size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
2011814,19.769,0,4,2,2,0,0
1087605,6.535,1,0,0,1,2,0
1087605,6.506,10,1,0,1,1,0
730607,19.987,11,2,1,2,1,1
647341,19.981,12,1,0,2,0,2
987410,1.49,13,1,2,0,1,1
712829,20.539,14,3,1,2,2,2
1060110,22.01,15,0,3,2,3,2
974064,7.953,16,4,2,1,1,2
1087605,6.694,17,1,0,1,3,0
1110608,19.749,18,2,3,2,1,1
1015213,6.6,19,1,2,1,3,1
974064,21.305,2,1,2,2,2,2
647341,20.256,20,2,0,2,3,2
974064,21.262,21,1,2,2,3,2
1797859,1.336,22,3,2,0,1,0
536618,1.637,23,3,1,0,3,1
516473,2.23,24,0,1,0,0,2
730607,20.025,25,3,1,2,3,1
658386,6.577,26,4,0,1,3,1
1301583,20.022,27,2,1,2,2,0
712829,7.148,28,1,1,1,1,2
536618,1.505,29,2,1,0,0,1
1110608,6.503,3,3,3,1,0,1
536618,1.596,30,1,1,0,2,1
1110608,6.604,31,4,3,1,3,1
2331807,1.167,32,4,3,0,1,0
1060110,8.662,33,4,3,1,2,2
647341,20.212,34,4,0,2,2,2
2011814,6.493,35,1,2,1,0,0
2385850,6.217,36,1,3,1,0,0
974064,20.976,37,0,2,2,0,2
1301583,6.707,38,4,1,1,1,0
1135854,2.923,39,0,3,0,0,2
1797859,1.341,4,2,2,0,1,0
1110608,19.889,40,0,3,2,0,1
1060110,8.558,41,1,3,1,0,2
730607,6.81,42,3,1,1,2,1
987410,1.499,43,1,2,0,2,1
2011814,6.539,44,2,2,1,2,0
1060110,21.87,45,1,3,2,1,2
647341,20.331,46,0,0,2,2,2
516473,2.166,47,2,1,0,2,2
1110608,6.566,48,3,3,1,2,1
1015213,19.733,49,4,2,2,3,1
987410,1.567,5,0,2,0,3,1
1301583,19.981,50,0,1,2,0,0
1015213,6.526,51,3,2,1,1,1
536618,1.499,52,0,1,0,0,1
730607,20.026,53,3,1,2,2,1
658386,19.672,54,0,0,2,2,1
647341,20.02,55,3,0,2,0,2
2011814,6.554,56,1,2,1,2,0
647341,20.249,57,0,0,2,3,2
516473,2.177,58,1,1,0,2,2
2385850,19.393,59,3,3,2,0,0
2011814,6.444,6,3,2,1,3,0
1301583,19.708,60,3,1,2,2,0
658386,6.51,61,3,0,1,1,1
1110608,19.881,62,2,3,2,2,1
2011814,19.694,63,0,2,2,0,0
516473,2.097,64,4,1,0,0,2
1015213,19.878,65,3,2,2,0,1
536618,1.532,66,3,1,0,0,1
2011814,19.817,67,2,2,2,2,0
974064,20.974,68,4,2,2,3,2
974064,8.003,69,2,2,1,2,2
1015213,19.921,7,2,2,2,0,1
730607,6.734,70,1,1,1,1,1
730607,6.83,71,0,1,1,2,1
387703,1.482,72,4,0,0,2,1
647341,7.135,73,2,0,1,3,2
1177966,1.391,74,1,3,0,0,1
707573,1.424,75,2,0,0,1,0
1177966,1.356,76,3,3,0,0,1
987410,1.486,77,0,2,0,1,1
1110608,6.568,78,2,3,1,2,1
954307,1.439,79,3,1,0,0,0
1087605,6.652,8,4,0,1,1,0
954307,1.47,80,0,1,0,0,0
647341,7.042,81,0,0,1,0,2
707573,1.415,82,1,0,0,2,0
1110608,19.915,83,2,3,2,0,1
1015213,19.825,84,3,2,2,2,1
658386,19.799,85,0,0,2,0,1
1087605,6.499,86,3,0,1,2,0
2011814,19.648,87,2,2,2,1,0
974064,7.802,88,3,2,1,2,2
1060110,8.634,89,4,3,1,0,2
974064,21.339,9,0,2,2,2,2
974064,7.914,90,4,2,1,2,2
387703,1.472,91,2,0,0,1,1
1301583,6.681,92,4,1,1,0,0
516473,2.099,93,4,1,0,1,2
1135854,3.104,94,1,3,0,3,2
647341,7.062,95,3,0,1,1,2
373306,2.04,96,3,0,0,3,2
1060110,22.046,97,0,3,2,1,2
1110608,19.835,98,0,3,2,1,1
1015213,6.642,99,2,2,1,3,1
