size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
464731,3.337,0,4,2,2,0,0
361231,1.288,1,0,0,1,2,0
361231,1.248,10,1,0,1,1,0
302092,3.424,11,2,1,2,1,1
268936,3.432,12,1,0,2,0,2
321829,0.37,13,1,2,0,1,1
300978,3.417,14,3,1,2,2,2
301053,3.435,15,0,3,2,3,2
300175,1.254,16,4,2,1,1,2
361231,1.345,17,1,0,1,3,0
302049,3.335,18,2,3,2,1,1
301097,1.309,19,1,2,1,3,1
300175,3.399,2,1,2,2,2,2
268936,3.46,20,2,0,2,3,2
300175,3.439,21,1,2,2,3,2
447264,0.346,22,3,2,0,1,0
277041,0.475,23,3,1,0,3,1
274987,0.562,24,0,1,0,0,2
302092,3.548,25,3,1,2,3,1
270496,1.328,26,4,0,1,3,1
446116,3.392,27,2,1,2,2,0
300978,1.354,28,1,1,1,1,2
277041,0.47,29,2,1,0,0,1
302049,1.329,3,3,3,1,0,1
277041,0.493,30,1,1,0,2,1
302049,1.401,31,4,3,1,3,1
472660,0.388,32,4,3,0,1,0
301053,1.463,33,4,3,1,2,2
268936,3.562,34,4,0,2,2,2
464731,1.218,35,1,2,1,0,0
473664,1.233,36,1,3,1,0,0
300175,3.387,37,0,2,2,0,2
446116,1.329,38,4,1,1,1,0
329124,0.454,39,0,3,0,0,2
447264,0.359,4,2,2,0,1,0
302049,3.612,40,0,3,2,0,1
301053,1.341,41,1,3,1,0,2
302092,1.329,42,3,1,1,2,1
321829,0.427,43,1,2,0,2,1
464731,1.358,44,2,2,1,2,0
301053,3.558,45,1,3,2,1,2
268936,3.439,46,0,0,2,2,2
274987,0.549,47,2,1,0,2,2
302049,1.311,48,3,3,1,2,1
301097,3.461,49,4,2,2,3,1
321829,0.436,5,0,2,0,3,1
446116,3.44,50,0,1,2,0,0
301097,1.277,51,3,2,1,1,1
277041,0.468,52,0,1,0,0,1
302092,3.462,53,3,1,2,2,1
270496,3.37,54,0,0,2,2,1
268936,3.403,55,3,0,2,0,2
464731,1.254,56,1,2,1,2,0
268936,3.437,57,0,0,2,3,2
274987,0.56,58,1,1,0,2,2
473664,3.3,59,3,3,2,0,0
464731,1.328,6,3,2,1,3,0
446116,3.383,60,3,1,2,2,0
270496,1.274,61,3,0,1,1,1
302049,3.38,62,2,3,2,2,1
464731,3.295,63,0,2,2,0,0
274987,0.536,64,4,1,0,0,2
301097,3.399,65,3,2,2,0,1
277041,0.461,66,3,1,0,0,1
464731,3.424,67,2,2,2,2,0
300175,3.387,68,4,2,2,3,2
300175,1.351,69,2,2,1,2,2
301097,3.38,7,2,2,2,0,1
302092,1.322,70,1,1,1,1,1
302092,1.404,71,0,1,1,2,1
195600,0.423,72,4,0,0,2,1
268936,1.463,73,2,0,1,3,2
329848,0.419,74,1,3,0,0,1
206311,0.416,75,2,0,0,1,0
329848,0.463,76,3,3,0,0,1
321829,0.406,77,0,2,0,1,1
302049,1.414,78,2,3,1,2,1
336417,0.447,79,3,1,0,0,0
361231,1.349,8,4,0,1,1,0
336417,0.432,80,0,1,0,0,0
268936,1.469,81,0,0,1,0,2
206311,0.431,82,1,0,0,2,0
302049,3.464,83,2,3,2,0,1
301097,3.334,84,3,2,2,2,1
270496,3.425,85,0,0,2,0,1
361231,1.276,86,3,0,1,2,0
464731,3.344,87,2,2,2,1,0
300175,1.271,88,3,2,1,2,2
301053,1.292,89,4,3,1,0,2
300175,3.4,9,0,2,2,2,2
300175,1.315,90,4,2,1,2,2
195600,0.425,91,2,0,0,1,1
446116,1.339,92,4,1,1,0,0
274987,0.529,93,4,1,0,1,2
329124,0.5,94,1,3,0,3,2
268936,1.426,95,3,0,1,1,2
193515,0.58,96,3,0,0,3,2
301053,3.603,97,0,3,2,1,2
302049,3.36,98,0,3,2,1,1
301097,1.293,99,2,2,1,3,1
