,0,1,2
0,80.0,82.0,0.0
1,172.0,173.0,0.0
2,100.0,102.0,0.0
3,108.0,203.0,0.0
4,200.0,204.0,0.0
5,18.0,37.0,0.0
6,156.0,206.0,0.0
7,123.0,159.0,0.0
8,153.0,157.0,0.0
9,158.0,209.0,0.0
10,179.0,181.0,0.0
11,183.0,211.0,0.0
12,11.0,22.0,0.0
13,130.0,131.0,0.0
14,132.0,214.0,0.0
15,99.0,122.0,0.0
16,111.0,127.0,0.0
17,133.0,217.0,0.0
18,0.0,44.0,1.1102230246251565e-16
19,160.0,163.0,1.1102230246251565e-16
20,55.0,219.0,1.1102230246251565e-16
21,66.0,221.0,1.1102230246251565e-16
22,110.0,222.0,1.1102230246251565e-16
23,116.0,223.0,1.1102230246251565e-16
24,117.0,224.0,1.1102230246251565e-16
25,151.0,152.0,1.1102230246251565e-16
26,135.0,144.0,1.1102230246251565e-16
27,63.0,178.0,2.220446049250313e-15
28,109.0,205.0,2.886579864025407e-14
29,175.0,193.0,4.399979237623697e-07
30,129.0,218.0,5.328390904058011e-07
31,184.0,212.0,6.577477421609856e-07
32,161.0,220.0,7.030734526791704e-07
33,93.0,189.0,1.2688140511585289e-06
34,101.0,229.0,1.2808407582998172e-06
35,105.0,235.0,1.4170347088689657e-06
36,154.0,210.0,1.4793678367874818e-06
37,57.0,58.0,1.5381547532333784e-06
38,96.0,234.0,1.929292093916235e-06
39,59.0,238.0,2.1731273553426966e-06
40,20.0,24.0,2.4675779408678267e-06
41,78.0,228.0,3.3976854651451838e-06
42,13.0,207.0,4.681742918899445e-06
43,33.0,225.0,4.9758081531736664e-06
44,138.0,139.0,8.406813293948545e-06
45,128.0,231.0,1.2652954067576827e-05
46,34.0,35.0,1.4301208427935919e-05
47,90.0,242.0,1.544353307440331e-05
48,52.0,53.0,2.346558820109923e-05
49,121.0,244.0,2.445017798208271e-05
50,21.0,241.0,2.7451564851288524e-05
51,146.0,227.0,2.881741880200739e-05
52,141.0,142.0,2.966062876241793e-05
53,64.0,248.0,4.180714852539125e-05
54,94.0,239.0,5.9423749747877785e-05
55,134.0,197.0,6.251615245178588e-05
56,29.0,30.0,7.373687249578875e-05
57,36.0,247.0,7.570665633238605e-05
58,14.0,243.0,8.261283617130855e-05
59,180.0,182.0,0.00010018269551259618
60,87.0,254.0,0.00010398440726060443
61,77.0,250.0,0.00012160024510902516
62,79.0,86.0,0.000133197305828614
63,97.0,255.0,0.00014200296138133783
64,145.0,198.0,0.0001421832051627936
65,85.0,107.0,0.00014396638454550192
66,12.0,54.0,0.0001458998503046649
67,62.0,261.0,0.00014788098634754832
68,2.0,3.0,0.00015066043388933803
69,124.0,262.0,0.00017291621782216103
70,164.0,230.0,0.00018156493750948188
71,8.0,15.0,0.00018391012888552272
72,245.0,253.0,0.00018753293791384795
73,16.0,45.0,0.0001905499501263508
74,168.0,208.0,0.0001934666062303192
75,17.0,50.0,0.00019683334443587608
76,68.0,81.0,0.00021717808125731874
