configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,ctime,exec
0,-O2,1,1,0,0,17552,0.148,20.408120999999998
1,-Og,1,1,0,1,17720,0.083,18.690651000000003
10,-O1,0,1,1,0,17584,0.107,6.444763
11,-Ofast,1,1,1,1,19112,0.124,7.714287
12,-O2,1,0,0,1,21648,0.184,14.688035999999999
13,-Ofast,1,0,1,0,19112,0.156,7.043642999999999
14,-Ofast,1,0,1,1,19112,0.152,6.963595
15,-O1,0,0,1,0,17584,0.118,6.995728999999999
16,-O2,0,0,0,1,21648,0.165,14.133498999999999
17,-O2,0,1,1,1,17552,0.117,5.104742
18,-O0,1,1,0,0,17752,0.066,27.8265
19,-O0,1,1,1,1,17752,0.066,20.849429999999998
2,-Og,0,1,0,0,17720,0.087,15.330144
20,-O0,1,1,0,1,17752,0.052,28.737239000000002
21,-Og,0,0,0,0,17720,0.094,16.217817
22,-O2,1,1,1,0,17552,0.119,5.753768
23,-O1,0,1,0,0,17584,0.1,16.216642999999998
24,-O1,0,0,0,1,21680,0.143,13.375110999999999
25,-O0,0,1,0,0,17752,0.06,27.711391
26,-Og,0,1,1,1,17720,0.078,6.843314
27,-O0,1,0,0,0,17752,0.066,30.044403000000003
28,-O1,0,0,1,1,17584,0.112,5.609961
29,-O0,1,1,1,0,17752,0.07,20.561273
3,-O0,1,0,1,0,17752,0.06,23.697489
30,-O1,1,0,0,0,21680,0.15,14.246544
31,-O2,0,1,1,0,17552,0.116,6.036395
32,-O0,0,1,0,1,17752,0.069,25.649729
33,-O2,1,1,1,1,17552,0.118,6.078987000000001
34,-O0,0,0,0,0,17752,0.062,28.712692999999998
35,-Ofast,0,1,0,1,19112,0.142,15.746975
36,-Og,1,0,1,1,17720,0.095,6.859959
37,-Og,1,1,0,0,17720,0.074,16.246251
38,-Og,1,0,0,1,17720,0.083,15.990085
39,-Ofast,0,0,1,1,19112,0.147,6.867686999999999
4,-O2,0,0,0,0,21648,0.188,14.240368
40,-O2,1,0,0,0,21648,0.168,13.571902
41,-O2,1,1,0,1,17552,0.121,14.971546
42,-O1,1,1,1,0,17584,0.102,6.99211
43,-O0,0,1,1,0,17752,0.058,23.702367000000002
44,-O2,0,1,0,0,17552,0.118,13.772027
45,-Og,0,1,0,1,17720,0.084,15.048017999999999
46,-Og,1,0,1,0,17720,0.091,7.135819000000001
47,-O2,1,0,1,0,17552,0.149,5.142252
48,-O1,1,0,1,0,17584,0.119,7.047919
49,-Ofast,0,1,0,0,19112,0.138,14.163615
5,-Ofast,0,1,1,1,19112,0.133,7.418097
50,-Ofast,0,1,1,0,19112,0.126,6.955931
51,-Og,1,1,1,1,17720,0.089,7.574857000000001
52,-Ofast,1,1,0,0,19112,0.145,14.063504
53,-Og,0,0,0,1,17720,0.084,16.260684
54,-Og,0,1,1,0,17720,0.081,7.9966669999999995
55,-O0,0,0,1,0,17752,0.062,26.290198999999998
56,-Og,0,0,1,1,17720,0.085,8.414900999999999
57,-O0,0,0,0,1,17752,0.073,31.795313
58,-O1,0,1,1,1,17584,0.096,7.025232000000001
59,-O1,1,1,1,1,17584,0.096,6.110665
6,-Ofast,1,0,0,0,23208,0.169,13.578675
60,-Ofast,1,1,1,0,19112,0.146,6.182812
61,-Og,1,0,0,0,17720,0.086,14.850949
62,-Og,0,0,1,0,17720,0.087,5.756044999999999
63,-Ofast,0,0,1,0,19112,0.153,5.730348
64,-Ofast,0,0,0,1,23208,0.18,15.016369000000001
65,-O1,1,1,0,0,17584,0.112,17.365601
66,-Ofast,0,0,0,0,23208,0.163,11.644803999999999
67,-O0,1,0,1,1,17752,0.074,22.137802999999998
68,-O2,0,1,0,1,17552,0.104,13.157598000000002
69,-O1,1,1,0,1,17584,0.102,16.651139
7,-O0,0,0,1,1,17752,0.073,25.434110999999998
70,-O0,0,1,1,1,17752,0.077,25.859391
71,-O0,1,0,0,1,17752,0.059,30.563696999999998
72,-O2,0,0,1,0,17552,0.154,6.471247
73,-O2,0,0,1,1,17552,0.152,5.993369
74,-O1,0,1,0,1,17584,0.102,17.513048
75,-O1,1,0,0,1,21680,0.146,14.991463000000001
76,-O2,1,0,1,1,17552,0.156,6.1703779999999995
77,-Og,1,1,1,0,17720,0.09,7.286327
78,-O1,0,0,0,0,21680,0.143,14.342548999999998
79,-O1,1,0,1,1,17584,0.119,6.9564639999999995
8,-Ofast,1,0,0,1,23208,0.174,14.492660999999998
9,-Ofast,1,1,0,1,19112,0.128,15.496718
