configurationID,-deserialize,-memtrace,-maxsize,-append,-output,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
0,1,0,0,1,0,9.897,0.377,1.973,0.991,2.704,1.438,8.347,8.085,2.045,4.958,0.941,1.426,1.17,1.469,3.088
1,0,1,0,1,0,10.168,0.812,2.25,1.292,2.689,1.829,8.537,2.376,2.269,2.815,1.233,1.741,1.167,1.728,2.975
10,0,0,0,1,0,10.16,0.829,2.244,1.281,2.709,1.837,8.584,8.424,2.306,5.188,1.371,1.747,1.696,1.739,3.079
11,1,0,0,0,0,10.064,0.369,1.951,0.946,2.706,1.472,8.364,8.118,2.078,4.952,0.909,1.43,1.154,1.445,3.045
12,1,0,0,1,0,9.796,0.348,1.948,0.956,2.707,1.466,8.344,8.014,2.071,5.211,0.925,1.405,1.171,1.451,3.154
13,0,0,0,0,0,9.819,0.348,1.992,0.942,2.749,1.454,8.425,8.292,2.048,5.206,0.983,1.407,1.162,1.452,3.146
14,0,0,0,1,0,10.2,0.846,2.258,1.301,2.697,1.85,8.589,8.576,2.274,5.077,1.373,1.752,1.693,1.752,3.124
15,1,1,0,1,0,9.828,0.334,1.942,0.934,2.739,1.462,8.434,2.061,2.044,2.729,0.769,1.394,0.669,1.446,3.055
16,1,0,0,0,0,9.799,0.37,1.943,0.958,2.713,1.477,8.376,8.059,2.111,5.191,0.931,1.429,1.222,1.442,3.128
17,0,0,0,1,0,10.188,0.846,2.266,1.311,2.691,1.848,8.626,8.561,2.311,5.154,1.383,1.768,1.674,1.735,3.088
18,0,1,0,1,0,10.087,0.825,2.241,1.267,2.7,1.844,8.536,2.393,2.291,2.842,1.221,1.755,1.179,1.728,3.027
19,0,1,0,0,0,9.831,0.351,1.946,0.94,2.719,1.471,8.364,2.05,2.066,2.696,0.781,1.393,0.646,1.43,3.045
2,1,0,0,1,0,9.867,0.376,1.947,0.968,2.703,1.486,8.375,8.271,2.07,5.007,0.916,1.409,1.14,1.458,3.082
