configurationID,-deserialize,-memtrace,-maxsize,-append,-output,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
0,1,0,0,1,0,62.778,2.245,11.528,5.628,22.395,8.334,53.587,47.245,12.047,29.405,6.05,8.079,4.743,8.473,17.245
1,0,1,0,1,0,0.003,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.004,0.004,0.003,0.003,0.004,0.003,0.005
10,0,0,0,1,0,0.005,0.007,0.005,0.006,0.009,0.004,0.01,0.006,0.008,0.006,0.006,0.007,0.006,0.005,0.013
11,1,0,0,0,0,62.054,2.244,11.338,5.609,21.764,8.361,54.079,46.682,12.0,29.599,6.004,8.224,4.793,8.412,17.089
12,1,0,0,1,0,62.127,2.258,11.384,5.719,21.648,8.317,53.622,46.577,11.911,29.975,6.064,8.127,4.729,8.396,17.086
13,0,0,0,0,0,61.884,2.252,11.526,5.694,21.768,8.42,54.04,47.617,11.98,29.968,5.931,8.1,4.698,8.421,17.24
14,0,0,0,1,0,0.006,0.006,0.006,0.006,0.007,0.006,0.009,0.004,0.009,0.005,0.008,0.004,0.005,0.006,0.012
15,1,1,0,1,0,62.489,2.174,11.461,5.558,21.719,8.462,53.668,11.818,11.913,16.475,5.248,8.057,3.739,8.611,16.616
16,1,0,0,0,0,61.987,2.286,11.392,5.609,21.728,8.368,53.895,47.063,11.974,29.692,5.953,8.25,4.67,8.38,17.247
17,0,0,0,1,0,0.01,0.01,0.005,0.009,0.004,0.005,0.006,0.006,0.007,0.005,0.005,0.006,0.005,0.005,0.007
18,0,1,0,1,0,0.003,0.004,0.004,0.004,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.003,0.004,0.004,0.004
19,0,1,0,0,0,61.963,2.194,11.389,5.566,21.736,8.417,54.013,11.771,11.915,16.536,5.123,8.245,3.739,8.422,16.788
2,1,0,0,1,0,62.091,2.264,11.34,5.597,21.696,8.453,53.983,46.545,11.993,30.183,6.048,8.077,4.656,8.472,17.252
20,1,0,0,0,0,62.369,2.257,11.38,5.65,21.738,8.409,54.11,46.621,12.004,29.808,6.218,8.122,4.709,8.396,17.144
