configurationID,-deserialize,-memtrace,-maxsize,-append,-output,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
0,1,0,0,1,0,2.071,0.083,0.435,0.218,0.538,0.328,1.797,1.791,0.449,1.078,0.209,0.313,0.286,0.329,0.856
1,0,1,0,1,0,2.099,0.197,0.49,0.295,0.57,0.404,1.826,0.54,0.496,0.593,0.287,0.385,0.258,0.411,0.652
10,0,0,0,1,0,2.178,0.204,0.504,0.291,0.591,0.416,1.848,1.849,0.534,1.119,0.327,0.398,0.403,0.392,0.694
11,1,0,0,0,0,2.065,0.097,0.461,0.232,0.54,0.332,1.791,1.789,0.45,1.088,0.208,0.316,0.286,0.321,0.876
12,1,0,0,1,0,2.086,0.093,0.458,0.234,0.542,0.337,1.764,1.871,0.482,1.06,0.221,0.321,0.285,0.32,0.828
13,0,0,0,0,0,2.051,0.094,0.434,0.214,0.545,0.333,1.788,1.854,0.474,1.071,0.209,0.33,0.282,0.32,0.938
14,0,0,0,1,0,2.118,0.208,0.496,0.288,0.574,0.425,1.829,1.866,0.532,1.095,0.332,0.395,0.412,0.395,0.675
15,1,1,0,1,0,2.052,0.071,0.426,0.205,0.532,0.339,1.764,0.456,0.461,0.562,0.167,0.308,0.138,0.314,1.007
16,1,0,0,0,0,2.106,0.082,0.433,0.238,0.56,0.332,1.766,1.93,0.455,1.054,0.209,0.314,0.28,0.395,0.785
17,0,0,0,1,0,2.123,0.216,0.52,0.307,0.574,0.413,1.828,2.027,0.532,1.13,0.313,0.39,0.423,0.391,0.672
18,0,1,0,1,0,2.108,0.196,0.488,0.284,0.569,0.424,1.825,0.547,0.526,0.679,0.27,0.393,0.258,0.377,0.649
19,0,1,0,0,0,2.071,0.085,0.449,0.213,0.559,0.35,1.783,0.451,0.455,0.562,0.168,0.312,0.157,0.318,0.803
2,1,0,0,1,0,2.055,0.096,0.435,0.209,0.54,0.328,1.762,1.795,0.451,1.056,0.232,0.313,0.282,0.337,0.825
20,1,0,0,0,0,2.043,0.083,0.428,0.225,0.541,0.326,1.772,1.807,0.454,1.082,0.206,0.315,0.282,0.339,0.855
21,1,1,0,1,0,2.093,0.083,0.445,0.233,0.538,0.328,1.757,0.455,0.437,0.588,0.187,0.305,0.139,0.315,0.859
22,1,0,0,0,0,2.057,0.095,0.45,0.231,0.539,0.332,1.768,1.758,0.474,1.081,0.2,0.316,0.287,0.322,0.855
23,0,1,0,0,0,2.041,0.082,0.45,0.205,0.532,0.341,1.754,0.461,0.461,0.559,0.166,0.335,0.144,0.317,0.778
24,1,1,0,1,0,2.104,0.085,0.454,0.205,0.532,0.324,1.761,0.458,0.442,0.581,0.166,0.312,0.145,0.312,0.759
25,0,1,0,0,0,2.103,0.085,0.453,0.227,0.531,0.322,1.785,0.451,0.44,0.562,0.185,0.338,0.165,0.316,0.872
26,0,1,0,0,0,2.121,0.082,0.452,0.206,0.534,0.322,1.802,0.468,0.471,0.56,0.191,0.344,0.143,0.311,0.765
27,0,0,0,1,0,2.138,0.214,0.498,0.288,0.574,0.411,1.826,1.855,0.526,1.112,0.315,0.389,0.406,0.41,0.683
28,0,1,0,1,0,2.136,0.183,0.489,0.302,0.567,0.43,1.823,0.532,0.504,0.613,0.295,0.395,0.261,0.386,0.674
29,0,1,0,0,0,2.044,0.086,0.446,0.203,0.567,0.319,1.764,0.467,0.443,0.563,0.168,0.312,0.172,0.323,0.788
3,1,1,0,1,0,2.05,0.083,0.454,0.221,0.537,0.322,1.748,0.455,0.444,0.558,0.192,0.314,0.139,0.31,0.774
30,0,1,0,1,0,2.127,0.183,0.496,0.294,0.57,0.407,1.836,0.541,0.501,0.756,0.268,0.386,0.275,0.404,0.672
31,1,1,0,1,0,2.049,0.086,0.455,0.208,0.53,0.335,1.743,0.466,0.476,0.559,0.169,0.307,0.138,0.338,0.869
32,1,1,0,1,0,2.107,0.082,0.431,0.227,0.537,0.352,1.758,0.47,0.47,0.561,0.17,0.305,0.163,0.343,0.789
33,0,1,0,0,0,2.106,0.07,0.459,0.223,0.534,0.324,1.79,0.449,0.44,0.588,0.167,0.307,0.134,0.311,0.819
34,1,1,0,1,0,2.077,0.081,0.456,0.233,0.53,0.348,1.753,0.457,0.465,0.734,0.168,0.311,0.142,0.34,0.782
35,1,0,0,0,0,2.132,0.083,0.459,0.231,0.545,0.344,1.761,1.822,0.454,1.065,0.201,0.325,0.288,0.322,0.874
36,0,0,0,0,0,2.052,0.095,0.445,0.214,0.545,0.362,1.792,1.786,0.475,1.107,0.203,0.337,0.285,0.325,0.837
37,0,1,0,1,0,2.148,0.209,0.504,0.312,0.569,0.403,1.817,0.518,0.498,0.597,0.295,0.389,0.279,0.385,0.666
38,1,1,0,0,0,2.074,0.074,0.426,0.208,0.529,0.354,1.785,0.472,0.439,0.582,0.182,0.306,0.139,0.318,0.823
39,0,0,0,0,0,2.065,0.094,0.458,0.214,0.542,0.333,1.787,1.742,0.473,1.056,0.215,0.315,0.281,0.316,0.843
4,1,1,0,1,0,2.086,0.085,0.446,0.206,0.532,0.343,1.749,0.461,0.445,0.564,0.196,0.335,0.16,0.317,0.894
40,0,0,0,0,0,2.09,0.083,0.441,0.235,0.544,0.353,1.766,1.779,0.469,1.062,0.223,0.344,0.291,0.34,0.811
41,1,0,0,1,0,2.065,0.093,0.46,0.206,0.54,0.352,1.767,1.829,0.451,1.067,0.203,0.313,0.287,0.322,0.83
42,1,1,0,0,0,2.059,0.084,0.443,0.205,0.534,0.323,1.761,0.464,0.441,0.564,0.159,0.308,0.138,0.313,0.904
43,0,0,0,1,0,2.11,0.214,0.497,0.286,0.573,0.413,1.843,1.866,0.52,1.107,0.316,0.392,0.421,0.395,0.672
44,1,0,0,1,0,2.068,0.096,0.433,0.213,0.54,0.348,1.761,1.786,0.45,1.07,0.209,0.317,0.282,0.341,0.823
45,0,0,0,1,0,2.119,0.192,0.496,0.313,0.58,0.427,1.82,1.838,0.523,1.112,0.316,0.416,0.406,0.388,0.674
46,1,1,0,0,0,2.074,0.084,0.456,0.203,0.542,0.324,1.759,0.473,0.467,0.559,0.168,0.307,0.166,0.313,0.748
47,1,1,0,0,0,2.063,0.085,0.453,0.203,0.533,0.323,1.756,0.448,0.445,0.58,0.164,0.309,0.142,0.31,0.827
48,0,1,0,0,0,2.071,0.072,0.428,0.206,0.53,0.336,1.756,0.482,0.44,0.56,0.17,0.307,0.164,0.312,0.761
49,1,0,0,1,0,2.083,0.082,0.433,0.214,0.541,0.328,1.758,1.772,0.455,1.081,0.21,0.321,0.333,0.322,0.798
5,1,1,0,0,0,2.065,0.084,0.447,0.224,0.533,0.323,1.779,0.464,0.443,0.583,0.185,0.307,0.137,0.318,0.826
