configurationID,-deserialize,-memtrace,-maxsize,-append,-output,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
0,1,0,0,1,0,1.116,0.057,0.276,0.117,0.306,0.179,0.938,0.99,0.274,0.567,0.133,0.174,0.168,0.174,0.494
1,0,1,0,1,0,1.095,0.102,0.262,0.148,0.294,0.217,0.965,0.295,0.263,0.308,0.148,0.205,0.136,0.23,0.376
10,0,0,0,1,0,1.078,0.111,0.292,0.162,0.306,0.22,1.007,0.98,0.276,0.579,0.175,0.216,0.221,0.227,0.364
11,1,0,0,0,0,1.069,0.052,0.233,0.138,0.307,0.179,0.943,0.969,0.249,0.564,0.12,0.205,0.191,0.195,0.489
12,1,0,0,1,0,1.07,0.059,0.258,0.115,0.286,0.178,0.968,0.963,0.261,0.557,0.118,0.178,0.158,0.171,0.503
13,0,0,0,0,0,1.043,0.058,0.258,0.118,0.289,0.176,0.954,0.946,0.245,0.565,0.139,0.197,0.159,0.177,0.562
14,0,0,0,1,0,1.081,0.123,0.294,0.159,0.328,0.228,0.968,1.02,0.278,0.597,0.176,0.213,0.222,0.23,0.369
15,1,1,0,1,0,1.039,0.044,0.228,0.109,0.271,0.204,0.938,0.247,0.232,0.287,0.089,0.194,0.076,0.166,0.465
16,1,0,0,0,0,1.046,0.059,0.256,0.118,0.278,0.178,0.973,0.947,0.245,0.563,0.119,0.183,0.16,0.18,0.49
17,0,0,0,1,0,1.085,0.106,0.272,0.156,0.304,0.219,0.978,0.985,0.294,0.582,0.172,0.212,0.224,0.211,0.365
18,0,1,0,1,0,1.112,0.117,0.29,0.149,0.304,0.214,0.961,0.298,0.291,0.309,0.149,0.204,0.136,0.209,0.344
19,0,1,0,0,0,1.04,0.048,0.252,0.109,0.275,0.174,0.945,0.261,0.257,0.293,0.09,0.172,0.078,0.166,0.461
2,1,0,0,1,0,1.077,0.06,0.258,0.118,0.283,0.2,0.935,0.965,0.263,0.585,0.119,0.17,0.162,0.176,0.508
20,1,0,0,0,0,1.049,0.053,0.234,0.12,0.28,0.177,0.939,0.992,0.247,0.567,0.135,0.206,0.162,0.177,0.518
21,1,1,0,1,0,1.048,0.04,0.235,0.134,0.293,0.17,0.931,0.25,0.231,0.29,0.094,0.165,0.093,0.191,0.457
22,1,0,0,0,0,1.039,0.057,0.266,0.115,0.281,0.206,0.96,0.976,0.266,0.585,0.157,0.179,0.16,0.2,0.536
23,0,1,0,0,0,1.039,0.043,0.229,0.11,0.3,0.172,0.939,0.245,0.259,0.288,0.086,0.169,0.076,0.166,0.452
24,1,1,0,1,0,1.038,0.051,0.256,0.131,0.298,0.179,0.932,0.251,0.26,0.287,0.09,0.166,0.08,0.174,0.497
25,0,1,0,0,0,1.044,0.042,0.233,0.11,0.298,0.193,0.941,0.244,0.231,0.296,0.097,0.165,0.084,0.164,0.504
26,0,1,0,0,0,1.039,0.038,0.227,0.109,0.303,0.174,0.934,0.246,0.232,0.318,0.089,0.172,0.077,0.167,0.459
27,0,0,0,1,0,1.083,0.125,0.295,0.161,0.307,0.226,0.997,0.99,0.28,0.608,0.174,0.218,0.218,0.209,0.397
28,0,1,0,1,0,1.116,0.116,0.269,0.149,0.302,0.213,0.964,0.302,0.262,0.316,0.143,0.208,0.137,0.202,0.341
29,0,1,0,0,0,1.055,0.046,0.23,0.109,0.276,0.208,0.934,0.247,0.233,0.296,0.092,0.17,0.075,0.17,0.465
3,1,1,0,1,0,1.038,0.046,0.262,0.11,0.278,0.177,0.932,0.268,0.231,0.29,0.108,0.173,0.081,0.167,0.457
30,0,1,0,1,0,1.071,0.102,0.263,0.149,0.296,0.238,0.962,0.286,0.26,0.31,0.143,0.205,0.136,0.204,0.373
31,1,1,0,1,0,1.063,0.047,0.23,0.108,0.274,0.174,0.927,0.261,0.234,0.307,0.09,0.166,0.084,0.166,0.483
32,1,1,0,1,0,1.076,0.051,0.251,0.11,0.274,0.179,0.929,0.267,0.231,0.291,0.108,0.187,0.08,0.163,0.44
33,0,1,0,0,0,1.049,0.048,0.234,0.134,0.291,0.179,0.939,0.244,0.234,0.315,0.107,0.201,0.081,0.166,0.472
34,1,1,0,1,0,1.04,0.049,0.254,0.108,0.274,0.172,0.965,0.255,0.232,0.287,0.108,0.193,0.076,0.167,0.482
35,1,0,0,0,0,1.046,0.06,0.265,0.113,0.304,0.179,0.945,1.02,0.265,0.566,0.122,0.173,0.158,0.179,0.498
36,0,0,0,0,0,1.066,0.056,0.258,0.116,0.284,0.181,0.981,0.946,0.246,0.594,0.12,0.207,0.174,0.178,0.505
37,0,1,0,1,0,1.107,0.115,0.281,0.174,0.317,0.219,0.986,0.308,0.264,0.316,0.144,0.207,0.136,0.202,0.356
38,1,1,0,0,0,1.076,0.049,0.255,0.11,0.276,0.172,0.936,0.246,0.232,0.29,0.11,0.189,0.094,0.191,0.468
39,0,0,0,0,0,1.04,0.058,0.26,0.121,0.282,0.179,0.942,1.003,0.237,0.557,0.113,0.206,0.16,0.176,0.509
4,1,1,0,1,0,1.041,0.04,0.267,0.11,0.272,0.172,0.961,0.25,0.234,0.308,0.097,0.169,0.077,0.168,0.43
40,0,0,0,0,0,1.055,0.058,0.258,0.124,0.281,0.206,0.942,0.955,0.246,0.561,0.136,0.174,0.16,0.18,0.478
41,1,0,0,1,0,1.055,0.055,0.238,0.143,0.296,0.175,0.963,0.967,0.24,0.567,0.115,0.174,0.161,0.199,0.49
42,1,1,0,0,0,1.068,0.047,0.235,0.114,0.274,0.172,0.936,0.243,0.234,0.294,0.091,0.17,0.077,0.168,0.495
43,0,0,0,1,0,1.097,0.124,0.273,0.157,0.304,0.221,0.97,1.008,0.28,0.58,0.171,0.237,0.222,0.214,0.364
44,1,0,0,1,0,1.052,0.047,0.243,0.118,0.279,0.183,0.939,0.965,0.247,0.585,0.14,0.2,0.16,0.175,0.477
45,0,0,0,1,0,1.093,0.108,0.268,0.158,0.302,0.221,0.976,1.021,0.282,0.591,0.174,0.212,0.219,0.211,0.363
46,1,1,0,0,0,1.039,0.045,0.227,0.111,0.275,0.202,0.934,0.268,0.237,0.288,0.107,0.189,0.077,0.168,0.441
47,1,1,0,0,0,1.045,0.052,0.255,0.134,0.295,0.175,0.934,0.266,0.233,0.313,0.088,0.172,0.078,0.174,0.533
48,0,1,0,0,0,1.059,0.043,0.226,0.111,0.275,0.2,0.955,0.256,0.231,0.29,0.089,0.168,0.092,0.186,0.532
49,1,0,0,1,0,1.044,0.057,0.257,0.122,0.282,0.178,0.939,0.967,0.236,0.557,0.138,0.174,0.16,0.178,0.549
5,1,1,0,0,0,1.062,0.046,0.228,0.11,0.274,0.171,0.932,0.243,0.237,0.288,0.089,0.17,0.079,0.169,0.494
6,0,1,0,0,0,1.044,0.046,0.229,0.135,0.282,0.172,0.935,0.246,0.231,0.29,0.108,0.188,0.081,0.172,0.489
7,0,0,0,1,0,1.077,0.122,0.269,0.16,0.332,0.219,0.978,1.066,0.277,0.607,0.17,0.244,0.224,0.216,0.365
8,1,1,0,0,0,1.061,0.042,0.227,0.136,0.301,0.195,0.934,0.265,0.242,0.293,0.097,0.164,0.076,0.166,0.425
9,0,0,0,0,0,1.073,0.058,0.245,0.122,0.289,0.207,0.939,0.967,0.236,0.559,0.118,0.174,0.162,0.175,0.565
