configurationID,-deserialize,-memtrace,-maxsize,-append,-output,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
0,1,0,0,1,0,4.516,0.155,0.918,0.432,1.171,0.706,3.793,3.791,0.972,2.282,0.421,0.657,0.582,0.673,1.541
1,0,1,0,1,0,4.614,0.423,1.039,0.603,1.223,0.844,3.884,1.102,1.072,1.276,0.586,0.811,0.552,0.805,1.383
10,0,0,0,1,0,4.66,0.407,1.068,0.598,1.245,0.866,3.925,4.089,1.083,2.359,0.645,0.817,0.845,0.809,1.431
11,1,0,0,0,0,4.472,0.176,0.904,0.434,1.164,0.687,3.818,3.742,0.967,2.29,0.437,0.677,0.587,0.692,1.538
12,1,0,0,1,0,4.489,0.179,0.904,0.435,1.171,0.707,3.789,3.888,0.983,2.288,0.446,0.66,0.581,0.67,1.532
13,0,0,0,0,0,4.501,0.156,0.905,0.457,1.179,0.685,3.792,3.85,0.958,2.273,0.429,0.658,0.575,0.686,1.618
14,0,0,0,1,0,4.642,0.401,1.071,0.599,1.234,0.859,3.899,3.884,1.083,2.36,0.661,0.823,0.838,0.812,1.45
15,1,1,0,1,0,4.482,0.156,0.901,0.44,1.176,0.697,3.798,0.959,0.94,1.199,0.349,0.663,0.324,0.68,1.527
16,1,0,0,0,0,4.521,0.166,0.903,0.45,1.171,0.703,3.829,3.773,0.975,2.263,0.437,0.658,0.582,0.715,1.532
17,0,0,0,1,0,4.625,0.39,1.048,0.617,1.247,0.865,3.913,3.877,1.067,2.328,0.691,0.842,0.831,0.83,1.452
18,0,1,0,1,0,4.622,0.377,1.043,0.605,1.229,0.874,3.882,1.12,1.053,1.278,0.566,0.815,0.57,0.806,1.378
19,0,1,0,0,0,4.482,0.159,0.899,0.427,1.187,0.693,3.775,0.945,0.953,1.222,0.359,0.66,0.307,0.665,1.956
2,1,0,0,1,0,4.522,0.155,0.943,0.458,1.169,0.699,3.771,3.746,0.974,2.271,0.444,0.663,0.602,0.67,1.55
20,1,0,0,0,0,4.474,0.166,0.904,0.429,1.174,0.683,3.82,3.781,0.965,2.287,0.418,0.681,0.612,0.694,1.549
21,1,1,0,1,0,4.538,0.159,0.927,0.429,1.164,0.671,3.759,0.973,0.961,1.23,0.347,0.65,0.306,0.668,1.479
22,1,0,0,0,0,4.536,0.155,0.908,0.454,1.17,0.703,3.851,3.707,0.949,2.315,0.425,0.689,0.605,0.683,1.553
23,0,1,0,0,0,4.503,0.168,0.9,0.426,1.165,0.678,3.785,0.965,0.938,1.21,0.343,0.67,0.309,0.662,1.471
24,1,1,0,1,0,4.472,0.162,0.896,0.451,1.177,0.698,3.77,0.952,0.941,1.221,0.349,0.688,0.333,0.667,1.578
25,0,1,0,0,0,4.468,0.144,0.915,0.43,1.171,0.703,3.777,0.941,0.968,1.217,0.345,0.659,0.332,0.661,1.643
26,0,1,0,0,0,4.477,0.144,0.897,0.427,1.188,0.677,3.802,0.967,0.963,1.206,0.337,0.654,0.303,0.663,1.477
27,0,0,0,1,0,4.591,0.408,1.046,0.611,1.236,0.854,3.929,4.049,1.079,2.328,0.655,0.819,0.824,0.805,1.448
28,0,1,0,1,0,4.588,0.396,1.043,0.59,1.225,0.868,3.887,1.099,1.074,1.273,0.587,0.809,0.574,0.822,1.39
29,0,1,0,0,0,4.517,0.165,0.898,0.431,1.17,0.687,3.772,0.945,0.939,1.229,0.342,0.677,0.308,0.66,1.504
3,1,1,0,1,0,4.456,0.16,0.898,0.451,1.17,0.69,3.796,0.975,0.94,1.212,0.349,0.654,0.303,0.685,1.461
30,0,1,0,1,0,4.624,0.39,1.041,0.603,1.218,0.853,3.931,1.101,1.066,1.28,0.569,0.825,0.565,0.808,1.392
31,1,1,0,1,0,4.493,0.168,0.899,0.429,1.189,0.697,3.768,0.964,0.939,1.225,0.349,0.644,0.305,0.659,1.512
32,1,1,0,1,0,4.5,0.144,0.925,0.45,1.175,0.708,3.761,0.982,0.94,1.222,0.358,0.667,0.295,0.667,1.542
33,0,1,0,0,0,4.509,0.164,0.898,0.422,1.172,0.671,3.774,0.945,0.936,1.221,0.342,0.657,0.325,0.658,1.58
34,1,1,0,1,0,4.489,0.14,0.897,0.444,1.181,0.686,3.767,0.959,0.939,1.212,0.368,0.687,0.306,0.691,1.508
