configurationID,-deserialize,-memtrace,-maxsize,-append,-output,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
0,1,0,0,1,0,62.296,2.272,11.571,5.664,21.393,8.295,53.686,48.56,12.047,29.686,6.014,8.08,4.721,8.451,17.153
1,0,1,0,1,0,0.003,0.003,0.003,0.004,0.004,0.003,0.005,0.004,0.003,0.004,0.004,0.004,0.004,0.005,0.004
10,0,0,0,1,0,0.006,0.005,0.005,0.006,0.008,0.004,0.01,0.009,0.005,0.006,0.005,0.009,0.004,0.005,0.008
11,1,0,0,0,0,61.97,2.242,11.336,5.6,21.698,8.487,54.139,48.4,12.043,29.959,5.992,8.103,4.749,8.429,17.205
12,1,0,0,1,0,62.094,2.246,11.353,5.562,21.533,8.364,53.592,47.915,12.002,29.478,5.996,8.217,4.694,8.417,17.154
13,0,0,0,0,0,62.109,2.254,11.33,5.635,21.449,8.371,54.103,46.88,12.005,29.719,5.878,8.162,4.732,8.445,17.193
14,0,0,0,1,0,0.009,0.009,0.004,0.005,0.005,0.007,0.011,0.004,0.006,0.01,0.005,0.01,0.008,0.007,0.015
15,1,1,0,1,0,62.0,2.165,11.363,5.569,21.41,8.346,53.52,11.803,12.037,16.638,5.178,8.22,3.769,8.409,16.853
16,1,0,0,0,0,61.956,2.243,11.379,5.563,21.513,8.392,54.17,46.373,12.07,29.54,5.927,8.065,4.672,8.476,17.199
17,0,0,0,1,0,0.003,0.005,0.005,0.005,0.007,0.006,0.005,0.006,0.007,0.005,0.008,0.005,0.009,0.004,0.007
18,0,1,0,1,0,0.005,0.005,0.004,0.004,0.003,0.004,0.005,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.005
19,0,1,0,0,0,62.152,2.188,11.37,5.568,21.553,8.408,54.157,11.66,11.979,16.575,5.093,8.054,3.748,8.43,16.571
2,1,0,0,1,0,62.68,2.253,11.361,5.637,21.429,8.346,53.718,46.445,11.992,30.476,5.967,8.089,4.692,8.434,17.353
20,1,0,0,0,0,62.229,2.26,11.337,5.584,21.463,8.379,54.07,47.163,11.998,29.855,5.872,8.12,4.735,8.405,17.136
21,1,1,0,1,0,61.907,2.162,11.339,5.578,21.54,8.309,54.024,11.81,11.935,16.557,5.183,8.061,3.749,8.407,16.575
22,1,0,0,0,0,61.735,2.263,11.427,5.627,21.482,8.357,55.0,46.874,12.014,29.766,5.959,8.078,4.715,8.425,17.188
23,0,1,0,0,0,61.876,2.198,11.362,5.552,21.424,8.389,53.849,11.777,11.983,16.461,5.107,8.084,3.789,8.471,16.738
24,1,1,0,1,0,62.207,2.193,11.311,5.604,21.472,8.472,53.931,11.903,11.934,16.649,5.177,8.096,3.766,8.399,16.572
25,0,1,0,0,0,61.689,2.18,11.357,5.546,21.491,8.41,54.522,11.703,11.97,16.524,5.125,8.072,3.749,8.42,16.569
26,0,1,0,0,0,61.784,2.175,11.336,5.558,21.532,8.462,54.319,11.715,11.965,16.534,5.116,8.064,3.826,8.697,16.511
