configurationID,-deserialize,-memtrace,-maxsize,-append,-output,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
0,1,0,0,1,0,32.576,1.142,5.692,2.801,9.772,4.161,26.684,23.953,5.959,14.79,2.977,4.032,2.738,4.163,8.645
1,0,1,0,1,0,0.002,0.005,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.004,0.004,0.003,0.004,0.005
10,0,0,0,1,0,0.006,0.006,0.009,0.008,0.004,0.005,0.005,0.004,0.006,0.006,0.008,0.007,0.01,0.004,0.013
11,1,0,0,0,0,30.63,1.092,5.632,2.81,9.691,4.184,26.897,23.401,5.936,14.678,2.872,4.105,2.759,4.176,8.543
12,1,0,0,1,0,32.942,1.103,5.618,2.796,9.821,4.161,26.607,23.388,6.006,14.657,2.93,4.028,2.709,4.159,8.59
13,0,0,0,0,0,30.563,1.1,5.662,2.812,9.809,4.174,26.67,23.298,5.966,14.651,2.917,4.099,2.723,4.172,8.609
14,0,0,0,1,0,0.007,0.005,0.007,0.009,0.004,0.005,0.009,0.004,0.005,0.005,0.01,0.004,0.008,0.004,0.008
15,1,1,0,1,0,30.608,1.08,5.613,2.767,9.692,4.234,26.55,5.921,5.948,8.151,2.541,4.0,1.883,4.16,8.271
16,1,0,0,0,0,30.8,1.114,5.612,2.802,9.714,4.212,26.955,23.377,5.992,14.63,2.937,4.035,2.7,4.247,8.555
17,0,0,0,1,0,0.005,0.006,0.005,0.009,0.004,0.004,0.005,0.004,0.006,0.008,0.005,0.005,0.007,0.008,0.008
18,0,1,0,1,0,0.004,0.004,0.004,0.004,0.005,0.004,0.003,0.005,0.004,0.005,0.004,0.004,0.004,0.003,0.004
19,0,1,0,0,0,30.765,1.056,5.627,2.769,9.855,4.235,26.704,5.86,5.935,8.105,2.507,4.047,1.88,4.168,8.294
2,1,0,0,1,0,30.485,1.1,5.644,2.808,9.751,4.222,26.545,23.94,5.945,14.571,2.907,4.069,2.77,4.239,8.626
20,1,0,0,0,0,30.6,1.106,5.649,2.785,9.795,4.191,26.79,24.402,5.951,14.566,2.909,4.066,2.724,4.183,8.63
21,1,1,0,1,0,30.391,1.051,5.673,2.785,9.747,4.225,26.877,5.874,5.941,8.07,2.504,4.032,1.865,4.168,8.329
22,1,0,0,0,0,30.51,1.112,5.638,2.77,9.711,4.177,27.101,23.352,5.964,14.608,2.905,4.038,2.751,4.178,8.551
23,0,1,0,0,0,30.582,1.056,5.618,2.797,9.735,4.208,26.877,5.833,5.933,8.024,2.482,4.032,1.888,4.152,8.273
24,1,1,0,1,0,30.468,1.054,5.611,2.784,9.733,4.214,26.683,5.929,5.933,8.073,2.533,4.031,1.867,4.176,8.265
25,0,1,0,0,0,30.553,1.073,5.622,2.778,9.709,4.19,26.75,5.841,5.98,8.065,2.506,4.026,1.872,4.188,8.358
26,0,1,0,0,0,30.538,1.056,5.623,2.789,9.747,4.193,26.763,5.836,5.938,8.059,2.492,4.06,1.87,4.153,8.393
27,0,0,0,1,0,0.01,0.011,0.007,0.005,0.005,0.006,0.01,0.004,0.005,0.005,0.005,0.01,0.004,0.005,0.008
28,0,1,0,1,0,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.002,0.005,0.005,0.004,0.004,0.004,0.005,0.004
29,0,1,0,0,0,30.82,1.068,5.635,2.76,9.714,4.181,27.389,5.833,5.935,8.056,2.477,4.055,1.934,4.174,8.305
3,1,1,0,1,0,30.637,1.05,5.647,2.81,9.674,4.175,26.649,5.997,5.937,8.035,2.532,4.032,1.842,4.168,8.425
30,0,1,0,1,0,0.004,0.005,0.003,0.004,0.004,0.005,0.004,0.003,0.003,0.004,0.003,0.005,0.004,0.003,0.004
31,1,1,0,1,0,30.546,1.068,5.635,2.795,9.71,4.146,27.343,5.918,5.923,8.084,2.53,4.047,1.863,4.158,8.321
32,1,1,0,1,0,30.756,1.067,5.615,2.81,9.706,4.171,26.844,5.917,5.906,8.061,2.529,4.006,1.86,4.148,8.284
33,0,1,0,0,0,30.702,1.068,5.606,2.789,9.696,4.177,27.019,5.856,5.923,8.061,2.501,4.013,1.871,4.154,8.347
34,1,1,0,1,0,30.407,1.072,5.615,2.783,9.774,4.152,26.542,5.929,5.919,8.057,2.54,4.017,1.871,4.178,8.339
35,1,0,0,0,0,30.666,1.083,5.644,2.797,9.706,4.155,26.85,23.449,5.966,14.66,2.904,4.035,2.723,4.156,8.607
36,0,0,0,0,0,30.604,1.108,5.628,2.771,9.74,4.217,27.262,23.716,5.949,14.55,2.913,4.053,2.705,4.164,8.592
37,0,1,0,1,0,0.004,0.004,0.004,0.003,0.003,0.005,0.004,0.004,0.004,0.005,0.005,0.003,0.003,0.005,0.004
38,1,1,0,0,0,30.46,1.07,5.596,2.77,9.714,4.188,26.823,5.832,5.961,8.042,2.495,4.036,1.887,4.177,8.353
39,0,0,0,0,0,30.572,1.109,5.638,2.769,9.707,4.254,26.832,23.464,6.018,14.692,2.888,4.056,2.735,4.203,8.55
4,1,1,0,1,0,30.7,1.052,5.591,2.804,9.853,4.208,26.488,5.946,5.932,8.086,2.548,4.008,1.882,4.179,8.25
40,0,0,0,0,0,30.65,1.109,5.631,2.799,9.714,4.219,26.887,23.261,5.988,14.559,2.908,4.035,2.726,4.167,8.76
41,1,0,0,1,0,30.672,1.11,5.605,2.778,9.68,4.18,26.558,23.37,6.003,14.736,2.944,4.055,2.732,4.186,8.548
42,1,1,0,0,0,30.539,1.065,5.605,2.805,9.729,4.182,26.657,5.865,5.924,8.063,2.473,4.047,1.889,4.155,8.405
43,0,0,0,1,0,0.006,0.006,0.01,0.004,0.005,0.005,0.006,0.004,0.005,0.005,0.01,0.004,0.007,0.007,0.012
44,1,0,0,1,0,32.546,1.113,5.632,2.781,9.702,4.179,26.853,23.435,6.01,14.557,2.941,4.036,2.751,4.179,8.774
45,0,0,0,1,0,0.006,0.007,0.005,0.006,0.005,0.005,0.006,0.005,0.006,0.006,0.01,0.005,0.005,0.008,0.01
46,1,1,0,0,0,32.742,1.069,5.613,2.828,9.753,4.175,26.802,5.859,5.966,8.051,2.496,4.051,1.889,4.174,8.326
47,1,1,0,0,0,30.437,1.078,5.61,2.772,9.689,4.309,26.743,5.833,5.982,8.042,2.536,4.044,1.864,4.172,8.306
48,0,1,0,0,0,30.588,1.061,5.62,2.771,9.699,4.242,26.694,5.841,5.929,8.064,2.499,4.052,1.85,4.151,8.252
49,1,0,0,1,0,30.457,1.088,5.66,2.79,9.741,4.187,26.726,23.19,5.957,14.776,2.946,4.05,2.699,4.242,8.537
5,1,1,0,0,0,30.618,1.053,5.632,2.767,9.737,4.172,26.665,5.872,5.939,8.043,2.526,4.027,1.891,4.197,8.39
6,0,1,0,0,0,33.188,1.073,5.607,2.792,9.743,4.171,26.739,5.924,5.946,8.045,2.482,4.055,1.886,4.165,8.364
7,0,0,0,1,0,0.006,0.006,0.006,0.004,0.005,0.005,0.005,0.007,0.006,0.005,0.005,0.005,0.006,0.005,0.008
8,1,1,0,0,0,30.871,1.05,5.614,2.762,9.719,4.17,26.777,5.856,5.902,8.069,2.499,4.048,1.862,4.162,8.295
9,0,0,0,0,0,30.606,1.095,5.645,2.763,9.958,4.196,26.754,24.03,5.979,14.51,2.936,4.057,2.755,4.231,8.657
