configurationID,-deserialize,-memtrace,-maxsize,-append,-output,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
0,1,0,0,1,0,46.065,1.666,8.557,4.225,15.536,6.224,40.782,36.892,8.947,22.293,4.494,6.103,3.728,6.293,12.777
1,0,1,0,1,0,0.005,0.003,0.004,0.003,0.005,0.005,0.004,0.004,0.003,0.005,0.005,0.003,0.004,0.004,0.005
10,0,0,0,1,0,0.006,0.009,0.005,0.006,0.01,0.004,0.004,0.01,0.008,0.01,0.005,0.006,0.007,0.005,0.009
11,1,0,0,0,0,45.699,1.685,8.44,4.206,15.405,6.302,40.715,36.082,8.918,22.207,4.455,6.056,3.75,6.25,13.069
12,1,0,0,1,0,45.78,1.666,8.447,4.177,15.455,6.27,40.556,35.554,8.894,22.09,4.439,6.195,3.723,6.284,12.841
13,0,0,0,0,0,46.104,1.676,8.439,4.183,15.408,6.331,40.884,35.109,8.95,22.234,4.412,6.185,3.71,6.25,12.855
14,0,0,0,1,0,0.006,0.005,0.005,0.005,0.004,0.005,0.006,0.008,0.005,0.01,0.004,0.006,0.005,0.005,0.008
15,1,1,0,1,0,45.835,1.641,8.523,4.201,15.84,6.249,40.501,8.904,9.072,12.717,3.842,6.048,2.788,6.464,12.381
16,1,0,0,0,0,45.8,1.687,8.437,4.193,15.556,6.296,40.756,34.915,9.02,21.909,4.377,6.076,3.73,6.285,12.811
17,0,0,0,1,0,0.005,0.006,0.005,0.005,0.005,0.005,0.006,0.005,0.007,0.005,0.006,0.006,0.006,0.006,0.008
18,0,1,0,1,0,0.004,0.003,0.004,0.004,0.005,0.005,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
19,0,1,0,0,0,45.702,1.613,8.477,4.184,15.45,6.256,40.64,8.778,8.894,12.263,3.81,6.221,2.802,6.255,12.568
2,1,0,0,1,0,45.848,1.668,8.434,4.268,15.452,6.236,40.479,35.755,8.974,21.977,4.472,6.05,3.734,6.275,12.842
20,1,0,0,0,0,45.657,1.674,8.431,4.186,15.465,6.317,40.507,36.428,8.926,22.775,4.48,6.1,3.751,6.284,12.924
21,1,1,0,1,0,47.321,1.636,8.436,4.163,15.411,6.291,40.177,8.87,8.929,12.218,3.849,6.035,2.803,6.299,12.545
22,1,0,0,0,0,45.914,1.678,8.422,4.218,15.403,6.319,40.789,37.962,8.955,22.11,4.454,6.054,3.772,6.282,12.832
23,0,1,0,0,0,46.092,1.636,8.434,4.212,15.397,6.281,40.483,8.779,8.918,12.295,3.814,6.048,2.811,6.263,12.348
24,1,1,0,1,0,45.632,1.614,8.432,4.214,15.488,6.257,40.332,8.858,8.897,12.277,3.873,6.047,2.8,6.264,12.41
25,0,1,0,0,0,45.875,1.638,8.476,4.193,15.571,6.306,40.61,8.769,8.898,12.449,3.824,6.067,2.829,6.299,12.357
26,0,1,0,0,0,45.866,1.637,8.433,4.158,15.545,6.28,40.462,8.807,8.963,12.205,3.811,6.065,2.855,6.277,12.323
27,0,0,0,1,0,0.008,0.004,0.005,0.008,0.006,0.01,0.009,0.005,0.006,0.008,0.007,0.004,0.005,0.01,0.01
28,0,1,0,1,0,0.004,0.004,0.003,0.004,0.004,0.004,0.005,0.004,0.004,0.005,0.003,0.004,0.003,0.003,0.004
29,0,1,0,0,0,45.745,1.632,8.45,4.204,15.434,6.26,41.453,8.844,8.907,12.314,3.797,6.04,2.798,6.319,12.366
3,1,1,0,1,0,45.73,1.637,8.46,4.18,15.354,6.219,40.307,8.87,8.92,12.272,3.839,6.02,2.811,6.255,12.33
30,0,1,0,1,0,0.002,0.003,0.004,0.004,0.003,0.004,0.004,0.003,0.005,0.005,0.004,0.004,0.003,0.005,0.005
31,1,1,0,1,0,49.334,1.636,8.437,4.204,15.376,6.31,40.298,8.873,8.934,12.264,3.869,6.075,2.808,6.284,12.387
32,1,1,0,1,0,46.762,1.647,8.473,4.192,15.53,6.237,41.056,8.877,8.919,12.267,3.861,6.012,2.784,6.263,12.386
33,0,1,0,0,0,45.494,1.621,8.436,4.197,15.374,6.311,40.545,8.777,8.92,12.305,3.808,6.06,2.795,6.286,12.33
34,1,1,0,1,0,46.173,1.633,8.412,4.185,15.38,6.25,40.268,8.803,8.868,12.236,3.842,6.04,2.794,6.284,12.363
35,1,0,0,0,0,46.307,1.675,8.442,4.178,15.391,6.352,40.721,35.057,8.967,22.004,4.446,6.153,3.711,6.253,12.757
36,0,0,0,0,0,45.903,1.679,8.451,4.182,15.445,6.303,40.431,35.833,8.912,21.994,4.442,6.209,3.747,6.354,12.879
37,0,1,0,1,0,0.002,0.002,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.004,0.004,0.003,0.004,0.004,0.003
38,1,1,0,0,0,45.661,1.62,8.539,4.169,15.409,6.27,40.556,8.783,8.89,12.283,3.81,6.071,2.851,6.338,12.35
39,0,0,0,0,0,46.284,1.681,8.4,4.158,15.416,6.431,40.755,34.794,8.976,22.103,4.483,6.06,3.718,6.297,12.812
4,1,1,0,1,0,45.692,1.632,8.464,4.167,15.398,6.307,40.404,8.912,8.907,12.373,3.914,6.018,2.822,6.276,12.523
40,0,0,0,0,0,45.932,1.668,8.602,4.179,15.489,6.302,40.98,34.976,8.958,22.124,4.41,6.064,3.756,6.281,12.84
41,1,0,0,1,0,46.553,1.684,8.437,4.303,15.561,6.218,42.051,35.009,8.974,22.134,4.493,6.063,3.742,6.328,12.901
42,1,1,0,0,0,45.249,1.619,8.437,4.154,15.455,6.335,40.501,8.923,8.894,12.278,3.801,6.054,2.825,6.598,12.367
43,0,0,0,1,0,0.006,0.005,0.005,0.005,0.006,0.009,0.005,0.008,0.005,0.006,0.006,0.006,0.005,0.004,0.007
