--jitless,--experimental-wasm-modules,--experimental-vm-modules,--preserve-symlinks-main,--no-warnings,--node-memory-debug,ops
0,0,1,1,0,0,25646.087126477243
1,0,1,1,1,0,32368.27850443664
0,0,0,0,0,0,32033.683033305322
1,0,1,0,1,0,26012.927124134338
0,0,0,1,0,1,31950.554854933143
1,0,0,1,0,1,31321.95435965271
1,1,0,0,1,0,31456.821721640034
0,1,1,1,1,1,25481.86720522423
0,0,1,1,1,0,32123.991411072664
0,1,1,1,1,0,25539.739617757445
1,0,1,0,0,1,25764.363613391193
1,0,0,0,0,1,31572.932890878674
0,0,1,0,0,1,32426.601253132492
0,0,1,1,0,1,25786.76516454548
1,1,0,1,1,1,31408.608565661503
0,1,0,1,1,0,31474.488840924565
1,0,1,1,0,1,32223.348535664707
0,1,0,0,1,1,31467.998493060488
1,0,0,0,1,0,25630.702382742867
1,0,0,1,1,1,25285.30995554716
1,1,1,0,0,0,31936.147122931583
1,0,1,1,0,0,25703.432917085946
1,0,0,1,1,0,32217.54108509709
0,0,0,1,0,0,25553.263285876237
1,1,1,1,1,0,26276.43428996897
1,0,1,1,1,1,31525.523221227522
1,0,0,1,0,0,31190.508004794356
1,1,0,1,1,0,31843.35109237024
1,1,1,1,1,1,32090.19243814511
1,1,1,0,1,0,31393.962903260945
0,0,0,1,1,1,25698.687565456163
0,1,1,0,0,0,25603.268697625474
0,0,1,0,1,1,31931.218622388882
1,1,1,1,0,0,32005.53055568002
0,0,0,0,1,1,25307.79082118821
1,1,1,1,0,1,32173.543579289995
1,1,0,0,0,0,25460.111960842347
1,1,0,0,0,1,32306.38444584568
0,0,1,0,0,0,32189.739198733012
1,1,0,1,0,0,32829.026952893764
1,0,0,0,1,1,25490.70239375539
1,0,0,0,0,0,31495.286273727488
0,1,1,1,0,1,32103.36976873182
0,1,0,0,0,0,31826.366547000587
0,1,1,0,1,1,25559.480412568868
1,0,1,0,0,0,32212.089551541678
0,1,1,0,0,1,31488.338183744465
0,1,0,0,0,1,31997.876364941414
0,1,0,1,1,1,25789.795065777776
0,0,1,1,1,1,25737.423510951066
