--jitless,--experimental-wasm-modules,--experimental-vm-modules,--preserve-symlinks-main,--no-warnings,--node-memory-debug,ops
0,0,1,1,0,0,2679
1,0,1,1,1,0,1914
0,0,0,0,0,0,2746
1,0,1,0,1,0,1913
0,0,0,1,0,1,2642
1,0,0,1,0,1,1877
1,1,0,0,1,0,1934
0,1,1,1,1,1,2676
0,0,1,1,1,0,2765
0,1,1,1,1,0,2728
1,0,1,0,0,1,1912
1,0,0,0,0,1,1882
0,0,1,0,0,1,2647
0,0,1,1,0,1,2742
1,1,0,1,1,1,1913
0,1,0,1,1,0,2695
1,0,1,1,0,1,1997
0,1,0,0,1,1,2692
1,0,0,0,1,0,1968
1,0,0,1,1,1,1920
1,1,1,0,0,0,1892
1,0,1,1,0,0,1913
1,0,0,1,1,0,1920
0,0,0,1,0,0,2753
1,1,1,1,1,0,1894
1,0,1,1,1,1,1951
1,0,0,1,0,0,1937
1,1,0,1,1,0,1899
1,1,1,1,1,1,1882
1,1,1,0,1,0,1903
0,0,0,1,1,1,2688
0,1,1,0,0,0,2766
0,0,1,0,1,1,2713
1,1,1,1,0,0,1939
0,0,0,0,1,1,2633
1,1,1,1,0,1,1868
1,1,0,0,0,0,1898
1,1,0,0,0,1,1897
0,0,1,0,0,0,2690
1,1,0,1,0,0,1933
1,0,0,0,1,1,1938
1,0,0,0,0,0,1941
0,1,1,1,0,1,2680
0,1,0,0,0,0,2821
0,1,1,0,1,1,2663
1,0,1,0,0,0,1903
0,1,1,0,0,1,2700
0,1,0,0,0,1,2702
0,1,0,1,1,1,2725
0,0,1,1,1,1,2712
