--jitless,--experimental-wasm-modules,--experimental-vm-modules,--preserve-symlinks-main,--no-warnings,--node-memory-debug,ops
0,0,1,1,0,0,48044169.88802826
1,0,1,1,1,0,901220.4972346206
0,0,0,0,0,0,54753232.11066811
1,0,1,0,1,0,914701.8867091149
0,0,0,1,0,1,53516599.85921923
1,0,0,1,0,1,937905.5917043182
1,1,0,0,1,0,927039.2055911811
0,1,1,1,1,1,47931042.18478126
0,0,1,1,1,0,54738929.79042544
0,1,1,1,1,0,57092517.85425765
1,0,1,0,0,1,909243.8860683988
1,0,0,0,0,1,906213.8654300956
0,0,1,0,0,1,50876306.217364445
0,0,1,1,0,1,54072070.283309534
1,1,0,1,1,1,931283.523290757
0,1,0,1,1,0,48616949.87174363
1,0,1,1,0,1,927776.4705922739
0,1,0,0,1,1,53164635.564929545
1,0,0,0,1,0,943947.7857925344
1,0,0,1,1,1,926615.0503968829
1,1,1,0,0,0,919452.1636999766
1,0,1,1,0,0,919342.5741904103
1,0,0,1,1,0,917747.5570828816
0,0,0,1,0,0,47125235.738101125
1,1,1,1,1,0,937337.0278472286
1,0,1,1,1,1,902780.2502671883
1,0,0,1,0,0,925637.2710853672
1,1,0,1,1,0,931493.9942385812
1,1,1,1,1,1,924938.1390967019
1,1,1,0,1,0,927219.4915556684
0,0,0,1,1,1,60251667.600467086
0,1,1,0,0,0,56815760.69201597
0,0,1,0,1,1,54228870.344302356
1,1,1,1,0,0,920786.426892064
0,0,0,0,1,1,47495507.2812275
1,1,1,1,0,1,925011.4347832291
1,1,0,0,0,0,933121.4605163352
1,1,0,0,0,1,917013.7890162166
0,0,1,0,0,0,54288831.2401822
1,1,0,1,0,0,921392.7435850846
1,0,0,0,1,1,934667.7138135394
1,0,0,0,0,0,933068.6293521443
0,1,1,1,0,1,56615427.81731107
0,1,0,0,0,0,54601667.45848184
0,1,1,0,1,1,47588079.110042006
1,0,1,0,0,0,927181.7515418099
0,1,1,0,0,1,56961413.88254465
0,1,0,0,0,1,47447092.57739107
0,1,0,1,1,1,54322049.68392444
0,0,1,1,1,1,47896450.17375395
