--jitless,--experimental-wasm-modules,--experimental-vm-modules,--preserve-symlinks-main,--no-warnings,--node-memory-debug,ops
0,0,1,1,0,0,0.27656058966466757
1,0,1,1,1,0,0.05491521723649003
0,0,0,0,0,0,0.27766928340572755
1,0,1,0,1,0,0.05592704796459735
0,0,0,1,0,1,0.2698730345685275
1,0,0,1,0,1,0.05502095381294188
1,1,0,0,1,0,0.05515372521895154
0,1,1,1,1,1,0.2584004937868692
0,0,1,1,1,0,0.2751733232535393
0,1,1,1,1,0,0.2778044559602081
1,0,1,0,0,1,0.05517377275243017
1,0,0,0,0,1,0.05587556242800193
0,0,1,0,0,1,0.26571091866108487
0,0,1,1,0,1,0.2695211664827419
1,1,0,1,1,1,0.054874163115447655
0,1,0,1,1,0,0.2613443895431067
1,0,1,1,0,1,0.0553920629331223
0,1,0,0,1,1,0.2706527804595449
1,0,0,0,1,0,0.055815279700561014
1,0,0,1,1,1,0.05459234092959337
1,1,1,0,0,0,0.05546061836062648
1,0,1,1,0,0,0.05573047162194048
1,0,0,1,1,0,0.05566453519045448
0,0,0,1,0,0,0.2800748941457487
1,1,1,1,1,0,0.05508213694061649
1,0,1,1,1,1,0.05463121870427697
1,0,0,1,0,0,0.055940854592564246
1,1,0,1,1,0,0.055995316311552155
1,1,1,1,1,1,0.054568824130902645
1,1,1,0,1,0,0.05518034549457822
0,0,0,1,1,1,0.2692822439170515
0,1,1,0,0,0,0.27772613760162845
0,0,1,0,1,1,0.26414527835441903
1,1,1,1,0,0,0.055939529986257286
0,0,0,0,1,1,0.2587225483054252
1,1,1,1,0,1,0.05549087587948444
1,1,0,0,0,0,0.055813211264420154
1,1,0,0,0,1,0.05601424312304359
0,0,1,0,0,0,0.2757154760306148
1,1,0,1,0,0,0.05577593533173989
1,0,0,0,1,1,0.055180329552866995
1,0,0,0,0,0,0.05533813001487774
0,1,1,1,0,1,0.2670770369391844
0,1,0,0,0,0,0.2753131465636363
0,1,1,0,1,1,0.2647816624357776
1,0,1,0,0,0,0.05555393491656173
0,1,1,0,0,1,0.26873520884966484
0,1,0,0,0,1,0.2682010637518469
0,1,0,1,1,1,0.27020003474509363
0,0,1,1,1,1,0.2673018452607077
