--jitless,--experimental-wasm-modules,--experimental-vm-modules,--preserve-symlinks-main,--no-warnings,--node-memory-debug,ops
0,0,1,1,0,0,16254291.498677209
1,0,1,1,1,0,119840.56526244427
0,0,0,0,0,0,16294721.188195426
1,0,1,0,1,0,119287.09144811303
0,0,0,1,0,1,16185533.082428435
1,0,0,1,0,1,121386.90754451536
1,1,0,0,1,0,118840.1548800148
0,1,1,1,1,1,16204438.042323042
0,0,1,1,1,0,16202527.445218202
0,1,1,1,1,0,16247238.517796274
1,0,1,0,0,1,117577.50179937432
1,0,0,0,0,1,121050.4278316986
0,0,1,0,0,1,16204657.04018212
0,0,1,1,0,1,16295575.138636235
1,1,0,1,1,1,120221.84849799253
0,1,0,1,1,0,16281838.361528646
1,0,1,1,0,1,120808.40386381045
0,1,0,0,1,1,16293359.460495586
1,0,0,0,1,0,121620.9466483771
1,0,0,1,1,1,118655.34035359879
1,1,1,0,0,0,122233.0615689861
1,0,1,1,0,0,121669.80824053085
1,0,0,1,1,0,119891.60865820582
0,0,0,1,0,0,16110508.032143492
1,1,1,1,1,0,120168.75968502898
1,0,1,1,1,1,121183.68477745287
1,0,0,1,0,0,120880.22084396651
1,1,0,1,1,0,120408.28568416445
1,1,1,1,1,1,119964.00871481038
1,1,1,0,1,0,121020.35307941913
0,0,0,1,1,1,15250632.710624581
0,1,1,0,0,0,16250895.62748527
0,0,1,0,1,1,15053074.43088992
1,1,1,1,0,0,120698.22272141026
0,0,0,0,1,1,16190658.86736724
1,1,1,1,0,1,117357.1060299465
1,1,0,0,0,0,120504.22247289612
1,1,0,0,0,1,118376.66599540546
0,0,1,0,0,0,16208131.862877583
1,1,0,1,0,0,120454.69341260426
1,0,0,0,1,1,121002.56719155457
1,0,0,0,0,0,115435.12785636721
0,1,1,1,0,1,16184005.670875587
0,1,0,0,0,0,16237584.174824484
0,1,1,0,1,1,16295687.465270834
1,0,1,0,0,0,120678.88133016729
0,1,1,0,0,1,14770360.6245582
0,1,0,0,0,1,16298343.923644084
0,1,0,1,1,1,16237783.767246697
0,0,1,1,1,1,16183965.858823512
