--jitless,--experimental-wasm-modules,--experimental-vm-modules,--preserve-symlinks-main,--no-warnings,--node-memory-debug,ops
0,0,1,1,0,0,425.19887742053817
1,0,1,1,1,0,110.93508474213533
0,0,0,0,0,0,422.77615556687886
1,0,1,0,1,0,116.15838768589506
0,0,0,1,0,1,487.61401878601276
1,0,0,1,0,1,104.04511076376136
1,1,0,0,1,0,106.96425983504707
0,1,1,1,1,1,492.4875166234237
0,0,1,1,1,0,422.72271915814196
0,1,1,1,1,0,492.79512825101625
1,0,1,0,0,1,121.44904784213679
1,0,0,0,0,1,121.26018081076458
0,0,1,0,0,1,419.9707797770496
0,0,1,1,0,1,422.2653634791842
1,1,0,1,1,1,102.47874481180347
0,1,0,1,1,0,427.33718355019187
1,0,1,1,0,1,114.23671391603776
0,1,0,0,1,1,488.3098046788126
1,0,0,0,1,0,108.78691209551025
1,0,0,1,1,1,121.53260312850783
1,1,1,0,0,0,120.81789695418371
1,0,1,1,0,0,121.59167884913963
1,0,0,1,1,0,103.15064867956463
0,0,0,1,0,0,422.6025634023442
1,1,1,1,1,0,104.39570344533006
1,0,1,1,1,1,104.71881450561165
1,0,0,1,0,0,119.28488349717398
1,1,0,1,1,0,121.86788090493512
1,1,1,1,1,1,121.13079825210585
1,1,1,0,1,0,121.30574925347592
0,0,0,1,1,1,488.81993529705596
0,1,1,0,0,0,494.06506319102044
0,0,1,0,1,1,423.1206744056115
1,1,1,1,0,0,102.89344516978286
0,0,0,0,1,1,423.5866607477491
1,1,1,1,0,1,115.03290334448181
1,1,0,0,0,0,109.77557415753888
1,1,0,0,0,1,102.92622891817634
0,0,1,0,0,0,422.77805021595333
1,1,0,1,0,0,118.7254005719031
1,0,0,0,1,1,110.66769320838432
1,0,0,0,0,0,103.36653602914417
0,1,1,1,0,1,491.1813786459289
0,1,0,0,0,0,488.020492644194
0,1,1,0,1,1,419.6423998825136
1,0,1,0,0,0,112.643518543759
0,1,1,0,0,1,490.80604448453954
0,1,0,0,0,1,424.7127289819566
0,1,0,1,1,1,493.08404266431376
0,0,1,1,1,1,424.2190238068662
