--jitless,--experimental-wasm-modules,--experimental-vm-modules,--preserve-symlinks-main,--no-warnings,--node-memory-debug,ops
0,0,1,1,0,0,94927.44832769115
1,0,1,1,1,0,54951.75241633021
0,0,0,0,0,0,95499.27940063734
1,0,1,0,1,0,62271.12675475287
0,0,0,1,0,1,98258.82126182938
1,0,0,1,0,1,62437.926164991964
1,1,0,0,1,0,56252.27181831272
0,1,1,1,1,1,93484.55644475987
0,0,1,1,1,0,95312.13370355616
0,1,1,1,1,0,95208.08746241448
1,0,1,0,0,1,62636.107870927844
1,0,0,0,0,1,62724.93553915187
0,0,1,0,0,1,107469.62814272763
0,0,1,1,0,1,93301.06385418447
1,1,0,1,1,1,62499.50039461872
0,1,0,1,1,0,106325.5278735508
1,0,1,1,0,1,62204.05294363605
0,1,0,0,1,1,110020.92355920064
1,0,0,0,1,0,62030.43580400724
1,0,0,1,1,1,62662.20071491179
1,1,1,0,0,0,62830.83260755344
1,0,1,1,0,0,62203.51704408091
1,0,0,1,1,0,62483.46843633845
0,0,0,1,0,0,96904.33481967139
1,1,1,1,1,0,62259.30785057373
1,0,1,1,1,1,62397.13870682391
1,0,0,1,0,0,61922.43321080411
1,1,0,1,1,0,62711.39187112739
1,1,1,1,1,1,62940.4517742265
1,1,1,0,1,0,62457.13722814876
0,0,0,1,1,1,109729.81753730912
0,1,1,0,0,0,92535.74051860526
0,0,1,0,1,1,108116.30390835681
1,1,1,1,0,0,53690.248350793954
0,0,0,0,1,1,108346.60768884086
1,1,1,1,0,1,63035.24566593919
1,1,0,0,0,0,62538.830750880916
1,1,0,0,0,1,61711.58056070402
0,0,1,0,0,0,97648.09771887306
1,1,0,1,0,0,57377.49766542437
1,0,0,0,1,1,59782.34181948059
1,0,0,0,0,0,62336.08609281733
0,1,1,1,0,1,106473.03792310882
0,1,0,0,0,0,110066.22189273286
0,1,1,0,1,1,96428.41772856131
1,0,1,0,0,0,55302.947361178114
0,1,1,0,0,1,107841.86461517218
0,1,0,0,0,1,96716.1529370592
0,1,0,1,1,1,94738.67445095196
0,0,1,1,1,1,108433.74695892136
