--jitless,--experimental-wasm-modules,--experimental-vm-modules,--preserve-symlinks-main,--no-warnings,--node-memory-debug,ops
0,0,1,1,0,0,3.035725417993476
1,0,1,1,1,0,3.5567897461679006
0,0,0,0,0,0,3.5711227998628243
1,0,1,0,1,0,3.5579560799634202
0,0,0,1,0,1,3.0572341014275866
1,0,0,1,0,1,3.555798509414945
1,1,0,0,1,0,3.5564464076369404
0,1,1,1,1,1,3.5423322947471076
0,0,1,1,1,0,3.038237098376598
0,1,1,1,1,0,3.111682900519768
1,0,1,0,0,1,3.549250786856447
1,0,0,0,0,1,3.36034474960049
0,0,1,0,0,1,3.298009895199602
0,0,1,1,0,1,3.5544441029510576
1,1,0,1,1,1,3.5712821725972974
0,1,0,1,1,0,3.5696443240649463
1,0,1,1,0,1,3.569457074798683
0,1,0,0,1,1,3.0985789013836738
1,0,0,0,1,0,3.558183610488242
1,0,0,1,1,1,3.5841025247275486
1,1,1,0,0,0,3.5656927131404
1,0,1,1,0,0,3.30523573267551
1,0,0,1,1,0,3.556016051447732
0,0,0,1,0,0,3.1727422410232218
1,1,1,1,1,0,3.559433589199939
1,0,1,1,1,1,3.2931903148495763
1,0,0,1,0,0,3.092985126778427
1,1,0,1,1,0,3.3234156126130867
1,1,1,1,1,1,3.5529016374141085
1,1,1,0,1,0,3.54979891712863
0,0,0,1,1,1,3.0301390791900613
0,1,1,0,0,0,3.038782551349384
0,0,1,0,1,1,3.564237478253506
1,1,1,1,0,0,3.5570454195825136
0,0,0,0,1,1,3.036109968897977
1,1,1,1,0,1,3.5532092423382005
1,1,0,0,0,0,3.1277046876830448
1,1,0,0,0,1,3.035151768736816
0,0,1,0,0,0,3.560506244694868
1,1,0,1,0,0,3.554421085072628
1,0,0,0,1,1,3.562056419332264
1,0,0,0,0,0,3.553772534010159
0,1,1,1,0,1,3.031119020088029
0,1,0,0,0,0,3.1600472992867146
0,1,1,0,1,1,3.551378892595722
1,0,1,0,0,0,3.557187118746399
0,1,1,0,0,1,3.5701587427201584
0,1,0,0,0,1,3.5624667136242953
0,1,0,1,1,1,3.570308906886816
0,0,1,1,1,1,3.057399766815294
