--jitless,--experimental-wasm-modules,--experimental-vm-modules,--preserve-symlinks-main,--no-warnings,--node-memory-debug,ops
0,0,1,1,0,0,616298428.5610342
1,0,1,1,1,0,1531302.7421492755
0,0,0,0,0,0,579902332.9650625
1,0,1,0,1,0,1551525.979654457
0,0,0,1,0,1,540535576.3786796
1,0,0,1,0,1,1549143.4433889638
1,1,0,0,1,0,1543055.9295678812
0,1,1,1,1,1,614085987.9062887
0,0,1,1,1,0,532337708.5051686
0,1,1,1,1,0,560553274.1535567
1,0,1,0,0,1,1553829.657774473
1,0,0,0,0,1,1533429.9611393649
0,0,1,0,0,1,613447965.819121
0,0,1,1,0,1,529976229.2941732
1,1,0,1,1,1,1525902.8050833454
0,1,0,1,1,0,569220347.7694975
1,0,1,1,0,1,1543476.654025477
0,1,0,0,1,1,617104776.9118097
1,0,0,0,1,0,1549079.3194862292
1,0,0,1,1,1,1556328.9238509682
1,1,1,0,0,0,1526815.6979812738
1,0,1,1,0,0,1547738.2226662133
1,0,0,1,1,0,1544491.5895015765
0,0,0,1,0,0,614971434.0541625
1,1,1,1,1,0,1544398.1202979868
1,0,1,1,1,1,1526136.4497400455
1,0,0,1,0,0,1528119.6127124391
1,1,0,1,1,0,1554537.207784216
1,1,1,1,1,1,1532385.1478239642
1,1,1,0,1,0,1550885.002002863
0,0,0,1,1,1,615540587.6876223
0,1,1,0,0,0,537697723.9545702
0,0,1,0,1,1,617373363.0484188
1,1,1,1,0,0,1533901.0723812415
0,0,0,0,1,1,615750264.9434847
1,1,1,1,0,1,1544763.981173417
1,1,0,0,0,0,1562366.8741119225
1,1,0,0,0,1,1547220.2500615837
0,0,1,0,0,0,615333771.7750547
1,1,0,1,0,0,1547371.687074578
1,0,0,0,1,1,1529685.4406830843
1,0,0,0,0,0,1541512.0055968806
0,1,1,1,0,1,531521282.3167797
0,1,0,0,0,0,615488108.2896671
0,1,1,0,1,1,524787051.6477888
1,0,1,0,0,0,1512768.3123523511
0,1,1,0,0,1,536680533.9728734
0,1,0,0,0,1,613995877.6193978
0,1,0,1,1,1,531690692.6613791
0,0,1,1,1,1,553680553.2739303
