--jitless,--experimental-wasm-modules,--experimental-vm-modules,--preserve-symlinks-main,--no-warnings,--node-memory-debug,ops
0,0,1,1,0,0,25493.3414069046
1,0,1,1,1,0,31990.06311863384
0,0,0,0,0,0,31616.45646676361
1,0,1,0,1,0,31852.039377784422
0,0,0,1,0,1,31775.222583845436
1,0,0,1,0,1,31182.97900789918
1,1,0,0,1,0,32257.803331979474
0,1,1,1,1,1,32043.833913988965
0,0,1,1,1,0,25385.634442091534
0,1,1,1,1,0,25736.68427707867
1,0,1,0,0,1,25328.70003866426
1,0,0,0,0,1,25099.78608205316
0,0,1,0,0,1,31893.008905740022
0,0,1,1,0,1,25395.389065867945
1,1,0,1,1,1,31872.22044357525
0,1,0,1,1,0,25181.312373953366
1,0,1,1,0,1,31993.028079320953
0,1,0,0,1,1,24862.445412947192
1,0,0,0,1,0,31702.397170421562
1,0,0,1,1,1,35684.098241605396
1,1,1,0,0,0,25431.47679314164
1,0,1,1,0,0,25711.30650847014
1,0,0,1,1,0,35905.26582319931
0,0,0,1,0,0,31683.22252337477
1,1,1,1,1,0,32088.916590894038
1,0,1,1,1,1,31528.496132667373
1,0,0,1,0,0,32017.07304016452
1,1,0,1,1,0,32016.495923227518
1,1,1,1,1,1,31803.479936774682
1,1,1,0,1,0,31592.32854859093
0,0,0,1,1,1,25596.038961778584
0,1,1,0,0,0,25656.08444689933
0,0,1,0,1,1,25375.759166586984
1,1,1,1,0,0,31111.54003554307
0,0,0,0,1,1,28181.80306612381
1,1,1,1,0,1,31873.2210758487
1,1,0,0,0,0,31958.143524597814
1,1,0,0,0,1,32054.84096054767
0,0,1,0,0,0,32072.37683477649
1,1,0,1,0,0,31417.208273156288
1,0,0,0,1,1,31233.931118499877
1,0,0,0,0,0,31188.276451634934
0,1,1,1,0,1,25353.58425522135
0,1,0,0,0,0,31675.10364727415
0,1,1,0,1,1,31950.725335781353
1,0,1,0,0,0,31902.1934895471
0,1,1,0,0,1,25353.95515869066
0,1,0,0,0,1,31943.460585858396
0,1,0,1,1,1,28703.279134366505
0,0,1,1,1,1,25466.25724734665
