--jitless,--experimental-wasm-modules,--experimental-vm-modules,--preserve-symlinks-main,--no-warnings,--node-memory-debug,ops
0,0,1,1,0,0,0.09163908960888736
1,0,1,1,1,0,0.018752364901287708
0,0,0,0,0,0,0.09401065843146424
1,0,1,0,1,0,0.019027044869253787
0,0,0,1,0,1,0.08768381878227667
1,0,0,1,0,1,0.01879042067822085
1,1,0,0,1,0,0.01900549883726714
0,1,1,1,1,1,0.08714231776018239
0,0,1,1,1,0,0.09183707910057852
0,1,1,1,1,0,0.09185479766271677
1,0,1,0,0,1,0.019019361802379953
1,0,0,0,0,1,0.018754362557752903
0,0,1,0,0,1,0.08896738803323571
0,0,1,1,0,1,0.08948677441129278
1,1,0,1,1,1,0.01891856802180508
0,1,0,1,1,0,0.0928596618527451
1,0,1,1,0,1,0.01882297477784873
0,1,0,0,1,1,0.08819668448712942
1,0,0,0,1,0,0.01915873360523554
1,0,0,1,1,1,0.018744138115696456
1,1,1,0,0,0,0.01904243089172091
1,0,1,1,0,0,0.019018994974666893
1,0,0,1,1,0,0.019147736550485604
0,0,0,1,0,0,0.09203521110773763
1,1,1,1,1,0,0.01906842207531631
1,0,1,1,1,1,0.01897861263640071
1,0,0,1,0,0,0.018893633873563864
1,1,0,1,1,0,0.018886902324193888
1,1,1,1,1,1,0.018899285507782346
1,1,1,0,1,0,0.01887852523834372
0,0,0,1,1,1,0.08446840361607824
0,1,1,0,0,0,0.0905003622088181
0,0,1,0,1,1,0.08804570338037522
1,1,1,1,0,0,0.018875748668927123
0,0,0,0,1,1,0.08827267662221028
1,1,1,1,0,1,0.018799644538102726
1,1,0,0,0,0,0.018877373548450607
1,1,0,0,0,1,0.01884589850438087
0,0,1,0,0,0,0.09164602119931807
1,1,0,1,0,0,0.01910994287241586
1,0,0,0,1,1,0.018865240197563048
1,0,0,0,0,0,0.019013904224974065
0,1,1,1,0,1,0.08708214121776736
0,1,0,0,0,0,0.09309844042082983
0,1,1,0,1,1,0.08882497603894095
1,0,1,0,0,0,0.018920776138531468
0,1,1,0,0,1,0.08643905997694977
0,1,0,0,0,1,0.08926049106165934
0,1,0,1,1,1,0.08962635355496189
0,0,1,1,1,1,0.08896020694891404
