--jitless,--experimental-wasm-modules,--experimental-vm-modules,--preserve-symlinks-main,--no-warnings,--node-memory-debug,ops
0,0,1,1,0,0,50434620.34078673
1,0,1,1,1,0,921180.4681559999
0,0,0,0,0,0,52994639.64519453
1,0,1,0,1,0,932454.0835878286
0,0,0,1,0,1,56404948.27073991
1,0,0,1,0,1,926985.8948139132
1,1,0,0,1,0,924884.9730270338
0,1,1,1,1,1,57276215.81082445
0,0,1,1,1,0,59571353.13707512
0,1,1,1,1,0,55942991.853581525
1,0,1,0,0,1,932261.5164940723
1,0,0,0,0,1,944350.7654780763
0,0,1,0,0,1,57108422.395821676
0,0,1,1,0,1,55855914.52972643
1,1,0,1,1,1,936086.7541389689
0,1,0,1,1,0,57749660.8795539
1,0,1,1,0,1,934095.5253909955
0,1,0,0,1,1,57115966.94561915
1,0,0,0,1,0,927072.7887881196
1,0,0,1,1,1,930344.9161114129
1,1,1,0,0,0,913145.0306284002
1,0,1,1,0,0,917282.812487876
1,0,0,1,1,0,920814.0505969936
0,0,0,1,0,0,52248913.40547237
1,1,1,1,1,0,918797.2840646298
1,0,1,1,1,1,916326.328407075
1,0,0,1,0,0,918794.7464411601
1,1,0,1,1,0,918029.5280911165
1,1,1,1,1,1,919886.2272203721
1,1,1,0,1,0,920064.9554081687
0,0,0,1,1,1,42994542.35878206
0,1,1,0,0,0,56875043.93597144
0,0,1,0,1,1,46132551.368134625
1,1,1,1,0,0,937689.323576821
0,0,0,0,1,1,50371385.7082577
1,1,1,1,0,1,925451.6919167987
1,1,0,0,0,0,933807.1894338448
1,1,0,0,0,1,922635.0524265133
0,0,1,0,0,0,57627262.028509595
1,1,0,1,0,0,950714.0220249237
1,0,0,0,1,1,914627.0175488708
1,0,0,0,0,0,932068.7022695424
0,1,1,1,0,1,50323446.40323986
0,1,0,0,0,0,57660776.11865942
0,1,1,0,1,1,50337583.973157585
1,0,1,0,0,0,937800.279253478
0,1,1,0,0,1,56127753.05225527
0,1,0,0,0,1,52657544.65978513
0,1,0,1,1,1,56464263.174961805
0,0,1,1,1,1,50656998.474565804
