configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 167826 , 16643.0 , 35
1,1,3,0,1,4,1000,1,1,3,2, 171300 , 16980.3 , 36
10,0,2,0,2,2,-1,1,2,3,1, 170416 , 16958.3 , 36
11,0,1,0,3,2,1000,1,1,3,2, 173464 , 16938.2 , 36
12,1,3,0,5,0,-1,1,2,2,1, 170639 , 16939.8 , 36
13,0,2,1,3,1,1000,1,2,3,1, 177296 , 17455.0 , 36
14,1,2,0,1,4,-1,1,1,2,3, 170003 , 16820.5 , 35
15,0,3,0,3,4,1000,2,2,1,2, 169796 , 16695.1 , 35
16,1,2,1,1,4,-1,2,2,1,1, 173832 , 17150.0 , 36
17,1,1,1,2,-1,1000,1,1,3,1, 176682 , 17461.5 , 36
18,1,1,1,4,4,-1,1,3,2,2, 177296 , 17502.0 , 36
19,1,3,1,2,1,-1,2,1,3,3, 170508 , 16646.6 , 36
2,1,2,1,3,-1,1000,1,1,3,3, 171556 , 17032.2 , 36
20,0,3,0,4,0,-1,1,2,1,2, 177319 , 17353.4 , 36
21,1,2,0,2,4,-1,2,3,3,3, 174059 , 17024.7 , 36
22,0,1,0,5,1,-1,1,2,1,3, 175079 , 17380.8 , 36
23,1,1,1,4,0,-1,1,2,3,3, 171556 , 17092.1 , 36
24,1,1,0,2,0,-1,1,1,2,3, 170030 , 16991.9 , 36
25,0,1,1,5,0,-1,1,3,2,3, 171734 , 16945.9 , 36
26,1,3,0,3,0,-1,2,1,2,3, 176239 , 17439.9 , 37
27,0,1,0,4,3,1000,1,3,2,3, 170766 , 16841.4 , 36
28,1,1,0,1,3,-1,2,3,3,2, 168640 , 16845.3 , 36
29,1,3,1,1,4,1000,2,1,2,3, 173302 , 16996.2 , 36
3,0,3,0,4,1,1000,1,3,2,2, 173464 , 17078.5 , 36
30,0,3,0,3,4,1000,2,3,1,1, 176569 , 17281.3 , 36
