configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 10327 , 1032.0 , 3
1,1,3,0,1,4,1000,1,1,3,2, 11000 , 1085.2 , 4
10,0,2,0,2,2,-1,1,2,3,1, 8730 , 871.6 , 2
11,0,1,0,3,2,1000,1,1,3,2, 10449 , 1043.4 , 3
12,1,3,0,5,0,-1,1,2,2,1, 10927 , 1091.1 , 4
13,0,2,1,3,1,1000,1,2,3,1, 9367 , 936.7 , 3
14,1,2,0,1,4,-1,1,1,2,3, 11000 , 1088.2 , 4
15,0,3,0,3,4,1000,2,2,1,2, 9717 , 970.5 , 3
16,1,2,1,1,4,-1,2,2,1,1, 11002 , 1066.4 , 4
17,1,1,1,2,-1,1000,1,1,3,1, 10515 , 1048.9 , 3
18,1,1,1,4,4,-1,1,3,2,2, 10039 , 1002.2 , 3
19,1,3,1,2,1,-1,2,1,3,3, 10663 , 1062.9 , 3
2,1,2,1,3,-1,1000,1,1,3,3, 10105 , 1007.0 , 3
20,0,3,0,4,0,-1,1,2,1,2, 8239 , 822.0 , 2
21,1,2,0,2,4,-1,2,3,3,3, 10327 , 1030.0 , 3
22,0,1,0,5,1,-1,1,2,1,3, 8676 , 867.4 , 2
23,1,1,1,4,0,-1,1,2,3,3, 10021 , 1000.9 , 3
24,1,1,0,2,0,-1,1,1,2,3, 11000 , 1064.7 , 4
25,0,1,1,5,0,-1,1,3,2,3, 8249 , 824.5 , 2
26,1,3,0,3,0,-1,2,1,2,3, 11000 , 1081.8 , 3
27,0,1,0,4,3,1000,1,3,2,3, 11000 , 1092.8 , 4
28,1,1,0,1,3,-1,2,3,3,2, 11001 , 1055.4 , 4
29,1,3,1,1,4,1000,2,1,2,3, 8937 , 891.0 , 2
3,0,3,0,4,1,1000,1,3,2,2, 11000 , 1094.2 , 4
30,0,3,0,3,4,1000,2,3,1,1, 11002 , 1074.3 , 4
31,1,2,0,2,4,-1,2,3,3,1, 10342 , 1031.1 , 3
32,1,2,1,1,3,-1,2,2,2,3, 11002 , 1066.2 , 4
33,1,1,0,4,1,-1,2,3,1,2, 11000 , 1071.1 , 3
34,1,1,1,4,3,1000,2,2,2,2, 10467 , 1044.3 , 4
