configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 209444 , 20873.3 , 39
1,1,3,0,1,4,1000,1,1,3,2, 203866 , 20317.9 , 38
10,0,2,0,2,2,-1,1,2,3,1, 213823 , 21361.3 , 39
11,0,1,0,3,2,1000,1,1,3,2, 196303 , 19578.8 , 37
12,1,3,0,5,0,-1,1,2,2,1, 209892 , 20781.5 , 39
13,0,2,1,3,1,1000,1,2,3,1, 89076 , 22274.2 , 21
14,1,2,0,1,4,-1,1,1,2,3, 210254 , 20901.1 , 39
15,0,3,0,3,4,1000,2,2,1,2, 220664 , 22003.9 , 41
16,1,2,1,1,4,-1,2,2,1,1, 208288 , 20646.2 , 39
17,1,1,1,2,-1,1000,1,1,3,1, 210407 , 20821.2 , 39
18,1,1,1,4,4,-1,1,3,2,2, 203439 , 20303.5 , 38
19,1,3,1,2,1,-1,2,1,3,3, 209918 , 20832.6 , 39
2,1,2,1,3,-1,1000,1,1,3,3, 206232 , 20522.3 , 38
20,0,3,0,4,0,-1,1,2,1,2, 209354 , 20828.1 , 39
21,1,2,0,2,4,-1,2,3,3,3, 210992 , 21035.9 , 39
22,0,1,0,5,1,-1,1,2,1,3, 209935 , 20917.3 , 39
23,1,1,1,4,0,-1,1,2,3,3, 206232 , 20540.4 , 38
24,1,1,0,2,0,-1,1,1,2,3, 207963 , 20581.4 , 39
25,0,1,1,5,0,-1,1,3,2,3, 208937 , 20758.3 , 39
26,1,3,0,3,0,-1,2,1,2,3, 209974 , 20812.5 , 39
27,0,1,0,4,3,1000,1,3,2,3, 209322 , 20915.3 , 39
28,1,1,0,1,3,-1,2,3,3,2, 209617 , 20832.9 , 39
29,1,3,1,1,4,1000,2,1,2,3, 203058 , 20162.6 , 38
3,0,3,0,4,1,1000,1,3,2,2, 207928 , 20772.4 , 38
30,0,3,0,3,4,1000,2,3,1,1, 214754 , 21447.0 , 41
31,1,2,0,2,4,-1,2,3,3,1, 207383 , 20621.0 , 39
