configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 429 , 42.8 , 0
1,1,3,0,1,4,1000,1,1,3,2, 718 , 71.8 , 0
10,0,2,0,2,2,-1,1,2,3,1, 382 , 32.2 , 0
11,0,1,0,3,2,1000,1,1,3,2, 382 , 32.0 , 0
12,1,3,0,5,0,-1,1,2,2,1, 423 , 42.3 , 0
13,0,2,1,3,1,1000,1,2,3,1, 1277 , 127.6 , 0
14,1,2,0,1,4,-1,1,1,2,3, 718 , 71.7 , 0
15,0,3,0,3,4,1000,2,2,1,2, 418 , 35.6 , 0
16,1,2,1,1,4,-1,2,2,1,1, 115 , 11.5 , 0
17,1,1,1,2,-1,1000,1,1,3,1, 173 , 13.2 , 0
18,1,1,1,4,4,-1,1,3,2,2, 534 , 53.3 , 0
19,1,3,1,2,1,-1,2,1,3,3, 199 , 19.9 , 0
2,1,2,1,3,-1,1000,1,1,3,3, 173 , 13.3 , 0
20,0,3,0,4,0,-1,1,2,1,2, 382 , 32.2 , 0
21,1,2,0,2,4,-1,2,3,3,3, 386 , 38.6 , 0
22,0,1,0,5,1,-1,1,2,1,3, 382 , 32.1 , 0
23,1,1,1,4,0,-1,1,2,3,3, 550 , 54.9 , 0
24,1,1,0,2,0,-1,1,1,2,3, 657 , 66.3 , 0
25,0,1,1,5,0,-1,1,3,2,3, 1277 , 127.7 , 0
26,1,3,0,3,0,-1,2,1,2,3, 448 , 44.7 , 0
27,0,1,0,4,3,1000,1,3,2,3, 382 , 32.2 , 0
28,1,1,0,1,3,-1,2,3,3,2, 429 , 42.9 , 0
29,1,3,1,1,4,1000,2,1,2,3, 197 , 19.7 , 0
3,0,3,0,4,1,1000,1,3,2,2, 382 , 32.1 , 0
30,0,3,0,3,4,1000,2,3,1,1, 418 , 35.6 , 0
31,1,2,0,2,4,-1,2,3,3,1, 429 , 42.9 , 0
32,1,2,1,1,3,-1,2,2,2,3, 115 , 11.5 , 0
33,1,1,0,4,1,-1,2,3,1,2, 433 , 43.3 , 0
34,1,1,1,4,3,1000,2,2,2,2, 123 , 12.3 , 0
35,1,2,0,5,4,1000,2,1,1,3, 448 , 44.8 , 0
36,1,3,0,3,-1,-1,1,3,1,3, 430 , 43.0 , 0
37,0,2,1,4,-1,-1,2,2,3,2, 420 , 41.9 , 0
38,0,2,0,2,1,-1,2,3,1,3, 418 , 35.5 , 0
39,0,2,1,2,0,-1,1,3,3,3, 1285 , 128.1 , 0
4,0,1,1,5,4,1000,1,1,1,2, 86 , 8.6 , 0
40,0,3,0,3,3,1000,1,1,1,1, 382 , 32.0 , 0
41,1,2,0,4,3,1000,1,1,3,2, 719 , 71.8 , 0
42,1,1,0,2,0,1000,1,3,3,3, 440 , 44.0 , 0
43,0,3,1,4,-1,-1,1,3,1,3, 1277 , 127.7 , 0
44,0,3,0,3,0,1000,1,2,2,2, 382 , 32.2 , 0
45,0,2,1,5,1,1000,1,2,3,1, 1285 , 128.4 , 0
46,1,1,0,5,2,-1,2,2,2,3, 438 , 43.8 , 0
47,0,2,0,5,4,-1,2,2,2,3, 418 , 35.5 , 0
48,0,3,0,1,3,-1,1,2,2,2, 382 , 32.1 , 0
49,1,1,1,3,-1,-1,2,1,2,1, 208 , 20.7 , 0
5,1,2,1,5,-1,1000,1,2,3,3, 527 , 52.6 , 0
50,1,3,1,5,3,-1,1,2,3,3, 534 , 53.4 , 0
51,1,3,0,4,0,1000,1,1,3,2, 687 , 68.6 , 0
52,1,1,0,1,4,1000,2,3,1,3, 433 , 43.2 , 0
53,0,1,0,4,3,-1,2,3,1,1, 418 , 35.5 , 0
54,0,1,0,2,-1,-1,2,3,3,1, 418 , 35.5 , 0
55,1,3,1,5,1,1000,1,1,3,3, 173 , 13.3 , 0
56,1,3,0,2,3,1000,1,1,1,2, 718 , 71.9 , 0
57,1,2,1,2,2,1000,2,1,1,3, 200 , 20.0 , 0
