configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 8180 , 817.9 , 3
1,1,3,0,1,4,1000,1,1,3,2, 11000 , 1064.7 , 4
10,0,2,0,2,2,-1,1,2,3,1, 11000 , 1057.3 , 3
11,0,1,0,3,2,1000,1,1,3,2, 4300 , 428.9 , 1
12,1,3,0,5,0,-1,1,2,2,1, 11000 , 1099.6 , 3
13,0,2,1,3,1,1000,1,2,3,1, 11001 , 1078.8 , 3
14,1,2,0,1,4,-1,1,1,2,3, 11000 , 1067.0 , 4
15,0,3,0,3,4,1000,2,2,1,2, 11000 , 1094.8 , 3
16,1,2,1,1,4,-1,2,2,1,1, 10782 , 1076.6 , 3
17,1,1,1,2,-1,1000,1,1,3,1, 11000 , 1047.3 , 3
18,1,1,1,4,4,-1,1,3,2,2, 11001 , 1060.8 , 4
19,1,3,1,2,1,-1,2,1,3,3, 11000 , 1048.0 , 3
2,1,2,1,3,-1,1000,1,1,3,3, 11001 , 1077.0 , 3
20,0,3,0,4,0,-1,1,2,1,2, 11001 , 1088.1 , 3
21,1,2,0,2,4,-1,2,3,3,3, 8180 , 816.7 , 3
22,0,1,0,5,1,-1,1,2,1,3, 11000 , 1068.8 , 3
23,1,1,1,4,0,-1,1,2,3,3, 11000 , 1059.8 , 4
24,1,1,0,2,0,-1,1,1,2,3, 11002 , 1099.5 , 4
25,0,1,1,5,0,-1,1,3,2,3, 11001 , 1074.3 , 3
26,1,3,0,3,0,-1,2,1,2,3, 10901 , 1088.8 , 3
27,0,1,0,4,3,1000,1,3,2,3, 11002 , 1099.6 , 4
28,1,1,0,1,3,-1,2,3,3,2, 8949 , 893.1 , 3
29,1,3,1,1,4,1000,2,1,2,3, 11000 , 1089.3 , 4
3,0,3,0,4,1,1000,1,3,2,2, 11002 , 1099.6 , 4
30,0,3,0,3,4,1000,2,3,1,1, 11000 , 1099.1 , 4
31,1,2,0,2,4,-1,2,3,3,1, 8207 , 819.5 , 3
32,1,2,1,1,3,-1,2,2,2,3, 10704 , 1068.2 , 3
33,1,1,0,4,1,-1,2,3,1,2, 9086 , 908.6 , 3
34,1,1,1,4,3,1000,2,2,2,2, 10804 , 1080.3 , 4
35,1,2,0,5,4,1000,2,1,1,3, 11000 , 1057.0 , 3
36,1,3,0,3,-1,-1,1,3,1,3, 11000 , 1063.7 , 4
37,0,2,1,4,-1,-1,2,2,3,2, 11004 , 1076.1 , 5
38,0,2,0,2,1,-1,2,3,1,3, 11001 , 1099.6 , 4
39,0,2,1,2,0,-1,1,3,3,3, 11000 , 1073.6 , 3
4,0,1,1,5,4,1000,1,1,1,2, 11001 , 1074.9 , 3
40,0,3,0,3,3,1000,1,1,1,1, 4351 , 434.2 , 1
41,1,2,0,4,3,1000,1,1,3,2, 11001 , 1076.8 , 4
42,1,1,0,2,0,1000,1,3,3,3, 11000 , 1079.6 , 4
43,0,3,1,4,-1,-1,1,3,1,3, 11001 , 1078.8 , 3
44,0,3,0,3,0,1000,1,2,2,2, 11001 , 1093.1 , 3
45,0,2,1,5,1,1000,1,2,3,1, 11001 , 1078.7 , 3
46,1,1,0,5,2,-1,2,2,2,3, 11000 , 1068.3 , 4
47,0,2,0,5,4,-1,2,2,2,3, 11001 , 1097.7 , 4
48,0,3,0,1,3,-1,1,2,2,2, 11002 , 1083.4 , 4
49,1,1,1,3,-1,-1,2,1,2,1, 10489 , 1046.6 , 3
5,1,2,1,5,-1,1000,1,2,3,3, 11000 , 1052.7 , 4
50,1,3,1,5,3,-1,1,2,3,3, 11000 , 1048.5 , 4
51,1,3,0,4,0,1000,1,1,3,2, 11001 , 1073.0 , 4
52,1,1,0,1,4,1000,2,3,1,3, 8903 , 887.7 , 3
53,0,1,0,4,3,-1,2,3,1,1, 11000 , 1099.3 , 4
54,0,1,0,2,-1,-1,2,3,3,1, 11001 , 1098.7 , 4
55,1,3,1,5,1,1000,1,1,3,3, 11000 , 1047.6 , 3
56,1,3,0,2,3,1000,1,1,1,2, 11002 , 1099.3 , 4
57,1,2,1,2,2,1000,2,1,1,3, 11000 , 1050.2 , 3
58,0,1,1,1,3,-1,1,1,2,2, 11000 , 1078.8 , 3
59,1,2,1,4,0,-1,2,2,1,3, 10911 , 1088.5 , 4
6,0,1,0,2,3,1000,2,2,1,1, 11000 , 1102.0 , 4
60,1,1,1,1,2,-1,1,3,1,2, 11000 , 1065.8 , 3
61,0,1,1,3,0,-1,1,2,1,3, 11001 , 1078.9 , 3
62,1,2,0,4,1,-1,1,1,2,3, 11001 , 1074.3 , 4
63,1,3,0,4,1,-1,1,1,3,3, 11001 , 1078.7 , 4
64,1,3,0,5,3,-1,2,1,3,1, 10940 , 1094.6 , 3
65,0,1,1,2,3,1000,1,2,2,1, 11000 , 1071.6 , 3
66,0,3,1,2,0,1000,1,1,3,3, 11000 , 1099.1 , 3
67,0,3,0,4,3,1000,1,2,1,2, 11001 , 1090.5 , 3
68,1,3,1,3,4,-1,2,2,2,3, 10619 , 1060.7 , 4
69,0,1,1,4,2,1000,2,3,3,2, 11004 , 1076.4 , 5
7,1,2,1,4,3,1000,2,1,1,3, 10732 , 1070.9 , 3
70,1,1,1,3,0,-1,1,1,3,1, 11001 , 1077.2 , 3
71,1,2,1,3,1,-1,1,2,1,1, 11000 , 1065.5 , 4
72,1,2,1,2,-1,1000,1,2,2,2, 11000 , 1055.7 , 4
73,0,1,1,3,3,1000,2,3,1,3, 11002 , 1075.8 , 5
74,1,1,0,5,1,-1,2,1,2,3, 11000 , 1055.6 , 3
75,1,3,0,2,4,-1,2,2,2,1, 11006 , 1066.1 , 4
76,0,1,1,2,4,-1,2,2,3,3, 11000 , 1076.6 , 4
77,0,3,0,2,0,-1,1,2,3,3, 11000 , 1058.4 , 3
78,1,3,1,3,3,-1,2,3,1,3, 10352 , 1032.0 , 3
79,0,2,1,1,1,-1,1,2,3,3, 11000 , 1078.0 , 3
8,1,1,0,5,0,1000,1,2,2,3, 11000 , 1093.9 , 3
80,1,1,1,2,0,1000,2,1,2,2, 11000 , 1048.2 , 3
81,1,2,1,3,3,-1,2,3,2,2, 10457 , 1044.3 , 3
82,0,2,0,2,0,-1,2,3,1,1, 11001 , 1099.6 , 4
83,1,3,0,3,4,1000,2,3,1,2, 9313 , 928.8 , 3
84,0,2,1,1,1,1000,1,1,1,2, 11000 , 1078.3 , 3
85,0,3,0,5,2,1000,2,2,2,3, 11001 , 1099.3 , 4
86,0,1,0,5,1,-1,2,2,3,3, 11001 , 1095.4 , 4
87,0,1,0,4,1,1000,1,2,3,2, 11001 , 1082.5 , 3
88,1,3,0,5,4,1000,1,3,3,2, 11000 , 1056.8 , 4
