configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 11000 , 1083.7 , 3
1,1,3,0,1,4,1000,1,1,3,2, 370 , 36.4 , 0
10,0,2,0,2,2,-1,1,2,3,1, 1000 , 98.2 , 0
11,0,1,0,3,2,1000,1,1,3,2, 1002 , 98.7 , 0
12,1,3,0,5,0,-1,1,2,2,1, 1002 , 98.7 , 0
13,0,2,1,3,1,1000,1,2,3,1, 1110 , 109.0 , 0
14,1,2,0,1,4,-1,1,1,2,3, 370 , 36.3 , 0
15,0,3,0,3,4,1000,2,2,1,2, 1000 , 98.2 , 0
16,1,2,1,1,4,-1,2,2,1,1, 1034 , 101.9 , 0
17,1,1,1,2,-1,1000,1,1,3,1, 1004 , 98.5 , 0
18,1,1,1,4,4,-1,1,3,2,2, 1053 , 103.2 , 0
19,1,3,1,2,1,-1,2,1,3,3, 1006 , 99.2 , 0
2,1,2,1,3,-1,1000,1,1,3,3, 1004 , 98.8 , 0
20,0,3,0,4,0,-1,1,2,1,2, 1000 , 98.3 , 0
21,1,2,0,2,4,-1,2,3,3,3, 11000 , 1085.4 , 3
22,0,1,0,5,1,-1,1,2,1,3, 1000 , 98.4 , 0
23,1,1,1,4,0,-1,1,2,3,3, 1003 , 98.6 , 0
24,1,1,0,2,0,-1,1,1,2,3, 370 , 36.4 , 0
25,0,1,1,5,0,-1,1,3,2,3, 1110 , 109.3 , 0
26,1,3,0,3,0,-1,2,1,2,3, 417 , 41.1 , 0
27,0,1,0,4,3,1000,1,3,2,3, 6251 , 615.0 , 1
28,1,1,0,1,3,-1,2,3,3,2, 11000 , 1082.2 , 3
29,1,3,1,1,4,1000,2,1,2,3, 1006 , 99.2 , 0
3,0,3,0,4,1,1000,1,3,2,2, 6251 , 615.1 , 1
30,0,3,0,3,4,1000,2,3,1,1, 2507 , 246.2 , 0
31,1,2,0,2,4,-1,2,3,3,1, 11000 , 1081.9 , 3
32,1,2,1,1,3,-1,2,2,2,3, 1034 , 101.8 , 0
33,1,1,0,4,1,-1,2,3,1,2, 11000 , 1082.6 , 3
