configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2664342,1.88
1,tiff,1,1,0,1,2664320,1.792
10,png,1,0,1,1,1775521,4.784
11,png,1,0,0,1,1775568,4.815
12,png,0,1,0,0,6076327,10.361
13,png,0,0,0,0,6076505,10.303
14,png,0,0,0,1,6076086,10.334
15,png,0,1,1,0,6075651,10.322
2,tiff,1,0,1,1,2664597,1.79
3,tiff,1,0,0,1,2664526,1.94
4,tiff,0,1,0,0,7992412,2.132
5,tiff,0,0,0,0,7991709,2.15
6,tiff,0,0,0,1,7993267,2.11
7,tiff,0,1,1,0,7992172,2.136
8,png,1,1,1,1,1775726,4.782
9,png,1,1,0,1,1775537,4.76
