configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,13297582,4.125
1,tiff,1,1,0,1,13297366,3.838
10,png,1,0,1,1,12750783,10.336
11,png,1,0,0,1,12750748,10.427
12,png,0,1,0,0,43736709,59.427
13,png,0,0,0,0,43736690,59.671
14,png,0,0,0,1,43736685,59.493
15,png,0,1,1,0,43736671,59.635
2,tiff,1,0,1,1,13297692,3.823
3,tiff,1,0,0,1,13297562,3.849
4,tiff,0,1,0,0,59905957,5.406
5,tiff,0,0,0,0,59905902,5.436
6,tiff,0,0,0,1,59905948,5.409
7,tiff,0,1,1,0,59905721,5.37
8,png,1,1,1,1,12750770,10.372
9,png,1,1,0,1,12750752,10.348
