configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,6292822,1.125
1,tiff,1,1,0,1,6292930,0.971
10,png,1,0,1,1,6227001,2.702
11,png,1,0,0,1,6226981,2.78
12,png,0,1,0,0,20023687,9.784
13,png,0,0,0,0,20023704,9.848
14,png,0,0,0,1,20025711,9.825
15,png,0,1,1,0,20023657,9.804
2,tiff,1,0,1,1,6292807,0.956
3,tiff,1,0,0,1,6292571,0.927
4,tiff,0,1,0,0,23874813,1.465
5,tiff,0,0,0,0,23874847,1.414
6,tiff,0,0,0,1,23873452,1.427
7,tiff,0,1,1,0,23874814,1.41
8,png,1,1,1,1,6227028,2.763
9,png,1,1,0,1,6227014,2.773
