configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,598431,0.243
1,tiff,1,1,0,1,598431,0.251
10,png,1,0,1,1,284814,0.801
11,png,1,0,0,1,284814,0.834
12,png,0,1,0,0,2985491,3.773
13,png,0,0,0,0,2985482,3.778
14,png,0,0,0,1,2985486,3.753
15,png,0,1,1,0,2985518,3.751
2,tiff,1,0,1,1,598187,0.243
3,tiff,1,0,0,1,598177,0.212
4,tiff,0,1,0,0,3512644,0.345
5,tiff,0,0,0,0,3512708,0.357
6,tiff,0,0,0,1,3512657,0.352
7,tiff,0,1,1,0,3512629,0.344
8,png,1,1,1,1,285160,0.832
9,png,1,1,0,1,285194,0.827
