configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,596650,0.251
1,tiff,1,1,0,1,596647,0.188
10,png,1,0,1,1,591119,0.24
11,png,1,0,0,1,591125,0.275
12,png,0,1,0,0,1680981,1.707
13,png,0,0,0,0,1680978,1.728
14,png,0,0,0,1,1680974,1.718
15,png,0,1,1,0,1680979,1.711
2,tiff,1,0,1,1,596644,0.162
3,tiff,1,0,0,1,596644,0.186
4,tiff,0,1,0,0,1523498,0.307
5,tiff,0,0,0,0,1523500,0.319
6,tiff,0,0,0,1,1523507,0.321
7,tiff,0,1,1,0,1523500,0.321
8,png,1,1,1,1,591113,0.238
9,png,1,1,0,1,591113,0.24
