configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,375524,0.258
1,tiff,1,1,0,1,375524,0.167
10,png,1,0,1,1,372908,0.186
11,png,1,0,0,1,372908,0.187
12,png,0,1,0,0,1696610,1.879
13,png,0,0,0,0,1696610,1.869
14,png,0,0,0,1,1696610,1.874
15,png,0,1,1,0,1696606,1.859
2,tiff,1,0,1,1,375524,0.149
3,tiff,1,0,0,1,375525,0.171
4,tiff,0,1,0,0,1756547,0.267
5,tiff,0,0,0,0,1756576,0.238
6,tiff,0,0,0,1,1756575,0.242
7,tiff,0,1,1,0,1756546,0.242
8,png,1,1,1,1,372905,0.189
9,png,1,1,0,1,372905,0.163
