configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2292658,0.566
1,tiff,1,1,0,1,2292654,0.446
10,png,1,0,1,1,2378757,1.707
11,png,1,0,0,1,2378779,1.756
12,png,0,1,0,0,7350525,7.054
13,png,0,0,0,0,7350524,7.083
14,png,0,0,0,1,7350523,7.002
15,png,0,1,1,0,7350516,7.057
2,tiff,1,0,1,1,2292660,0.427
3,tiff,1,0,0,1,2292673,0.473
4,tiff,0,1,0,0,9785280,0.606
5,tiff,0,0,0,0,9785286,0.567
6,tiff,0,0,0,1,9785301,0.59
7,tiff,0,1,1,0,9785300,0.563
8,png,1,1,1,1,2378780,1.761
9,png,1,1,0,1,2378769,1.729
