configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,677477,0.216
1,tiff,1,1,0,1,677478,0.207
10,png,1,0,1,1,874211,1.516
11,png,1,0,0,1,874224,1.492
12,png,0,1,0,0,1090744,1.809
13,png,0,0,0,0,1090745,1.812
14,png,0,0,0,1,1090745,1.841
15,png,0,1,1,0,1090745,1.811
2,tiff,1,0,1,1,677481,0.212
3,tiff,1,0,0,1,677481,0.187
4,tiff,0,1,0,0,974404,0.191
5,tiff,0,0,0,0,974516,0.224
6,tiff,0,0,0,1,974513,0.23
7,tiff,0,1,1,0,974500,0.199
8,png,1,1,1,1,874223,1.466
9,png,1,1,0,1,874218,1.464
