configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,372843,0.104
1,tiff,1,1,0,1,372845,0.093
10,png,1,0,1,1,316386,0.143
11,png,1,0,0,1,316386,0.145
12,png,0,1,0,0,892616,1.586
13,png,0,0,0,0,892606,1.591
14,png,0,0,0,1,892577,1.605
15,png,0,1,1,0,892618,1.589
2,tiff,1,0,1,1,372849,0.104
3,tiff,1,0,0,1,372849,0.093
4,tiff,0,1,0,0,1070350,0.388
5,tiff,0,0,0,0,1070263,0.371
6,tiff,0,0,0,1,1070290,0.42
7,tiff,0,1,1,0,1070291,0.366
8,png,1,1,1,1,316455,0.141
9,png,1,1,0,1,316384,0.143
