configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,3102948,2.716
1,tiff,1,1,0,1,3102940,2.595
10,png,1,0,1,1,2808878,9.74
11,png,1,0,0,1,2808861,9.639
12,png,0,1,0,0,2921457,11.019
13,png,0,0,0,0,2921451,11.002
14,png,0,0,0,1,2921459,10.907
15,png,0,1,1,0,2921451,10.962
2,tiff,1,0,1,1,3102936,2.594
3,tiff,1,0,0,1,3102889,2.608
4,tiff,0,1,0,0,3191977,2.932
5,tiff,0,0,0,0,3191981,2.843
6,tiff,0,0,0,1,3191989,2.832
7,tiff,0,1,1,0,3191965,2.851
8,png,1,1,1,1,2808877,9.635
9,png,1,1,0,1,2808871,9.615
