configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1583574,0.257
1,tiff,1,1,0,1,1583577,0.227
10,png,1,0,1,1,1557742,10.255
11,png,1,0,0,1,1557752,10.138
12,png,0,1,0,0,1557752,10.258
13,png,0,0,0,0,1557751,10.251
14,png,0,0,0,1,1557751,10.231
15,png,0,1,1,0,1557753,10.226
2,tiff,1,0,1,1,1583603,0.254
3,tiff,1,0,0,1,1583602,0.228
4,tiff,0,1,0,0,1583581,0.249
5,tiff,0,0,0,0,1583600,0.228
6,tiff,0,0,0,1,1583606,0.226
7,tiff,0,1,1,0,1583600,0.228
8,png,1,1,1,1,1557755,10.218
9,png,1,1,0,1,1557750,10.188
