configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1065645,0.898
1,tiff,1,1,0,1,1065496,0.811
10,png,1,0,1,1,665704,2.838
11,png,1,0,0,1,665705,2.786
12,png,0,1,0,0,665717,2.841
13,png,0,0,0,0,665701,2.823
14,png,0,0,0,1,665697,2.865
15,png,0,1,1,0,665730,2.807
2,tiff,1,0,1,1,1065528,0.795
3,tiff,1,0,0,1,1065519,0.825
4,tiff,0,1,0,0,1065496,0.818
5,tiff,0,0,0,0,1065507,0.827
6,tiff,0,0,0,1,1065510,0.797
7,tiff,0,1,1,0,1065520,0.795
8,png,1,1,1,1,665696,2.825
9,png,1,1,0,1,665705,2.823
