configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1159381,0.68
1,tiff,1,1,0,1,1159390,0.597
10,png,1,0,1,1,1080154,2.668
11,png,1,0,0,1,1080181,2.744
12,png,0,1,0,0,1080137,2.671
13,png,0,0,0,0,1080186,2.703
14,png,0,0,0,1,1080245,2.693
15,png,0,1,1,0,1080191,2.701
2,tiff,1,0,1,1,1159210,0.553
3,tiff,1,0,0,1,1159279,0.612
4,tiff,0,1,0,0,1159256,0.576
5,tiff,0,0,0,0,1159266,0.546
6,tiff,0,0,0,1,1159135,0.549
7,tiff,0,1,1,0,1159243,0.552
8,png,1,1,1,1,1080182,2.712
9,png,1,1,0,1,1080156,2.677
