configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,270651,0.178
1,tiff,1,1,0,1,270651,0.152
10,png,1,0,1,1,273732,0.543
11,png,1,0,0,1,273704,0.532
12,png,0,1,0,0,907288,1.063
13,png,0,0,0,0,907285,1.083
14,png,0,0,0,1,907284,1.083
15,png,0,1,1,0,907283,1.064
2,tiff,1,0,1,1,270654,0.159
3,tiff,1,0,0,1,270654,0.158
4,tiff,0,1,0,0,1009395,0.167
5,tiff,0,0,0,0,1009395,0.168
6,tiff,0,0,0,1,1009396,0.189
7,tiff,0,1,1,0,1009396,0.187
8,png,1,1,1,1,273704,0.525
9,png,1,1,0,1,273715,0.498
