configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,3506328,1.983
1,tiff,1,1,0,1,3505892,1.832
10,png,1,0,1,1,2757039,6.454
11,png,1,0,0,1,2757047,6.457
12,png,0,1,0,0,8811213,21.198
13,png,0,0,0,0,8811521,21.317
14,png,0,0,0,1,8811639,21.194
15,png,0,1,1,0,8811442,21.199
2,tiff,1,0,1,1,3507514,1.801
3,tiff,1,0,0,1,3506729,1.929
4,tiff,0,1,0,0,11147205,2.775
5,tiff,0,0,0,0,11148093,2.835
6,tiff,0,0,0,1,11150257,2.834
7,tiff,0,1,1,0,11147837,2.754
8,png,1,1,1,1,2756979,6.498
9,png,1,1,0,1,2757019,6.489
