configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,703955,0.308
1,tiff,1,1,0,1,703955,0.226
10,png,1,0,1,1,533187,1.652
11,png,1,0,0,1,533238,1.648
12,png,0,1,0,0,775254,1.751
13,png,0,0,0,0,775213,1.78
14,png,0,0,0,1,775156,1.773
15,png,0,1,1,0,775154,1.806
2,tiff,1,0,1,1,702500,0.232
3,tiff,1,0,0,1,702324,0.263
4,tiff,0,1,0,0,1214164,0.275
5,tiff,0,0,0,0,1213858,0.245
6,tiff,0,0,0,1,1213858,0.243
7,tiff,0,1,1,0,1213873,0.244
8,png,1,1,1,1,533247,1.656
9,png,1,1,0,1,533248,1.622
