configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,4131083,1.259
1,tiff,1,1,0,1,4130715,1.23
10,png,1,0,1,1,4290852,6.467
11,png,1,0,0,1,4290834,6.473
12,png,0,1,0,0,4907798,7.02
13,png,0,0,0,0,4907804,6.963
14,png,0,0,0,1,4907815,6.972
15,png,0,1,1,0,4907815,6.973
2,tiff,1,0,1,1,4131056,1.247
3,tiff,1,0,0,1,4130720,1.236
4,tiff,0,1,0,0,4939146,1.286
5,tiff,0,0,0,0,4938179,1.282
6,tiff,0,0,0,1,4939147,1.31
7,tiff,0,1,1,0,4939327,1.253
8,png,1,1,1,1,4290842,6.511
9,png,1,1,0,1,4290847,6.446
