configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,15061748,1.587
1,tiff,1,1,0,1,15061773,1.519
10,png,1,0,1,1,12692276,34.127
11,png,1,0,0,1,12692238,34.139
12,png,0,1,0,0,12692286,34.296
13,png,0,0,0,0,12692208,34.221
14,png,0,0,0,1,12692275,34.164
15,png,0,1,1,0,12692193,34.301
2,tiff,1,0,1,1,15061736,1.497
3,tiff,1,0,0,1,15061738,1.479
4,tiff,0,1,0,0,15061688,1.477
5,tiff,0,0,0,0,15061740,1.439
6,tiff,0,0,0,1,15061730,1.523
7,tiff,0,1,1,0,15061731,1.461
8,png,1,1,1,1,12692184,34.264
9,png,1,1,0,1,12692232,34.066
