configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,782175,0.145
1,tiff,1,1,0,1,782175,0.109
10,png,1,0,1,1,782175,0.097
11,png,1,0,0,1,782175,0.109
12,png,0,1,0,0,1183129,2.149
13,png,0,0,0,0,1183217,2.215
14,png,0,0,0,1,782194,0.112
15,png,0,1,1,0,1183109,2.141
2,tiff,1,0,1,1,782181,0.094
3,tiff,1,0,0,1,782181,0.109
4,tiff,0,1,0,0,1330705,0.431
5,tiff,0,0,0,0,1330700,0.461
6,tiff,0,0,0,1,782181,0.1
7,tiff,0,1,1,0,1330695,0.427
8,png,1,1,1,1,782179,0.096
9,png,1,1,0,1,782179,0.117
