configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1698804,0.412
1,tiff,1,1,0,1,1698483,0.315
10,png,1,0,1,1,1556829,0.719
11,png,1,0,0,1,1557009,0.795
12,png,0,1,0,0,9489608,6.856
13,png,0,0,0,0,9489567,6.87
14,png,0,0,0,1,9489612,6.902
15,png,0,1,1,0,9489622,6.882
2,tiff,1,0,1,1,1698485,0.388
3,tiff,1,0,0,1,1698485,0.32
4,tiff,0,1,0,0,12611927,1.408
5,tiff,0,0,0,0,12611852,1.436
6,tiff,0,0,0,1,12611748,1.406
7,tiff,0,1,1,0,12611658,1.407
8,png,1,1,1,1,1556831,0.724
9,png,1,1,0,1,1556823,0.82
