configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1276286,0.5
1,tiff,1,1,0,1,1276496,0.341
10,png,1,0,1,1,1274942,1.469
11,png,1,0,0,1,1274917,1.504
12,png,0,1,0,0,2998936,2.993
13,png,0,0,0,0,2998913,2.912
14,png,0,0,0,1,3000242,2.933
15,png,0,1,1,0,2998940,2.954
2,tiff,1,0,1,1,1276294,0.336
3,tiff,1,0,0,1,1276397,0.308
4,tiff,0,1,0,0,2893931,0.42
5,tiff,0,0,0,0,2893964,0.414
6,tiff,0,0,0,1,2890109,0.444
7,tiff,0,1,1,0,2893970,0.418
8,png,1,1,1,1,1275089,1.472
9,png,1,1,0,1,1274959,1.471
