configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1235426,0.338
1,tiff,1,1,0,1,1235426,0.224
10,png,1,0,1,1,1322761,0.853
11,png,1,0,0,1,1322757,0.826
12,png,0,1,0,0,4916712,5.069
13,png,0,0,0,0,4916710,5.029
14,png,0,0,0,1,4916705,5.014
15,png,0,1,1,0,4916713,5.035
2,tiff,1,0,1,1,1235427,0.241
3,tiff,1,0,0,1,1235427,0.206
4,tiff,0,1,0,0,6513058,0.393
5,tiff,0,0,0,0,6513215,0.394
6,tiff,0,0,0,1,6513128,0.393
7,tiff,0,1,1,0,6513062,0.386
8,png,1,1,1,1,1322779,0.825
9,png,1,1,0,1,1322776,0.906
