configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,4019106,0.274
1,tiff,1,1,0,1,4019157,0.248
10,png,1,0,1,1,4001579,0.534
11,png,1,0,0,1,4001603,0.559
12,png,0,1,0,0,15060204,27.091
13,png,0,0,0,0,15060176,26.9
14,png,0,0,0,1,15060183,27.081
15,png,0,1,1,0,15060183,27.01
2,tiff,1,0,1,1,4019124,0.263
3,tiff,1,0,0,1,4019143,0.282
4,tiff,0,1,0,0,17570806,0.774
5,tiff,0,0,0,0,17570677,0.791
6,tiff,0,0,0,1,17570763,0.769
7,tiff,0,1,1,0,17570810,0.779
8,png,1,1,1,1,4001566,0.531
9,png,1,1,0,1,4001588,0.533
