configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,21913119,0.693
1,tiff,1,1,0,1,21913119,0.51
10,png,1,0,1,1,21913119,0.459
11,png,1,0,0,1,21913119,0.459
12,png,0,1,0,0,21913119,0.489
13,png,0,0,0,0,21913119,0.458
14,png,0,0,0,1,21913119,0.457
15,png,0,1,1,0,21913119,0.457
2,tiff,1,0,1,1,21913119,0.462
3,tiff,1,0,0,1,21913119,0.486
4,tiff,0,1,0,0,21913119,0.46
5,tiff,0,0,0,0,21913119,0.486
6,tiff,0,0,0,1,21913119,0.491
7,tiff,0,1,1,0,21913119,0.517
8,png,1,1,1,1,21913119,0.477
9,png,1,1,0,1,21913119,0.465
