configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,4236711,2.824
1,tiff,1,1,0,1,4236214,2.726
10,png,1,0,1,1,2442302,10.354
11,png,1,0,0,1,2442168,10.351
12,png,0,1,0,0,4451734,15.953
13,png,0,0,0,0,4451741,15.9
14,png,0,0,0,1,4451712,15.864
15,png,0,1,1,0,4451717,15.888
2,tiff,1,0,1,1,4237101,2.724
3,tiff,1,0,0,1,4236508,2.702
4,tiff,0,1,0,0,6291410,3.236
5,tiff,0,0,0,0,6290622,3.288
6,tiff,0,0,0,1,6290730,3.329
7,tiff,0,1,1,0,6290731,3.289
8,png,1,1,1,1,2442123,10.414
9,png,1,1,0,1,2442316,10.365
