configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,4096275,0.76
1,tiff,1,1,0,1,4096182,0.69
10,png,1,0,1,1,3637709,1.364
11,png,1,0,0,1,3637152,1.392
12,png,0,1,0,0,22369385,14.113
13,png,0,0,0,0,22369427,14.156
14,png,0,0,0,1,22369476,14.193
15,png,0,1,1,0,22369681,14.127
2,tiff,1,0,1,1,4096879,0.81
3,tiff,1,0,0,1,4096444,0.64
4,tiff,0,1,0,0,28670376,3.38
5,tiff,0,0,0,0,28670892,3.394
6,tiff,0,0,0,1,28670140,3.414
7,tiff,0,1,1,0,28670194,3.388
8,png,1,1,1,1,3637964,1.376
9,png,1,1,0,1,3637903,1.41
