configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1129368,1.283
1,tiff,1,1,0,1,1129668,1.03
10,png,1,0,1,1,654067,2.96
11,png,1,0,0,1,654071,2.996
12,png,0,1,0,0,654051,2.944
13,png,0,0,0,0,654070,2.973
14,png,0,0,0,1,654071,3.026
15,png,0,1,1,0,654041,2.972
2,tiff,1,0,1,1,1129349,1.035
3,tiff,1,0,0,1,1129699,1.034
4,tiff,0,1,0,0,1130267,1.034
5,tiff,0,0,0,0,1129583,1.035
6,tiff,0,0,0,1,1129526,1.04
7,tiff,0,1,1,0,1129993,1.05
8,png,1,1,1,1,654068,2.99
9,png,1,1,0,1,654071,2.971
